signal_id,extract_kind,unpacker,body_size,body_sha256,call_site,buf_off,bit_len,start_arg,signed,dest,dest_width,first_consumer,window_lo,window_hi,classification,classification_basis
80,none,0x0,0,none,0x0,63,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x22584,0x22586,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
81,none,0x0,0,none,0x0,63,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x22586,0x22588,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
82,none,0x0,0,none,0x0,63,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x22588,0x2258A,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
83,bitfield,0x4A456,68,2a4f332f4c2bf1d322fa523cb50a2e27f726ceb882f2f3958533013137cd03f0,0x4A484,74,8,0,0,0xFEBE7FB2,1,0x56FC2,0x4A456,0x4A484,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
84,none,0x0,0,none,0x0,79,0,0,0,none,0,none as configured COM signal; containing PDU is consumed by SecOC path,0x2258C,0x2258E,configured_no_com_unpacker_secoc_pdu,PDU has no generated COM unpacker; its CAN ID is present in the six-record SecOC receive table
85,none,0x0,0,none,0x0,79,0,0,0,none,0,none as configured COM signal; containing PDU is consumed by SecOC path,0x2258E,0x22590,configured_no_com_unpacker_secoc_pdu,PDU has no generated COM unpacker; its CAN ID is present in the six-record SecOC receive table
86,none,0x0,0,none,0x0,79,0,0,0,none,0,none as configured COM signal; containing PDU is consumed by SecOC path,0x22590,0x22592,configured_no_com_unpacker_secoc_pdu,PDU has no generated COM unpacker; its CAN ID is present in the six-record SecOC receive table
87,opaque_pdu_bytes,0x68368,898,7dc15cabdff702996c79e0a31ad163e1ee9b6972aae82c87a732204f4eb3817a,0x68368,87,64,0,0,COM+0x57/opaque-shadow,8,opaque PDU bytes consumed by crypto-test shadow/stability logic; no stable per-signal RAM dest,0x25902,0x2593A,extracted_group_bytes,signal-ID/offset tables 0x25902/0x2591E plus application_com_receive_signal_group_bytes callers
88,opaque_pdu_bytes,0x68368,898,7dc15cabdff702996c79e0a31ad163e1ee9b6972aae82c87a732204f4eb3817a,0x68368,95,64,0,0,COM+0x5F/opaque-shadow,8,opaque PDU bytes consumed by crypto-test shadow/stability logic; no stable per-signal RAM dest,0x25902,0x2593A,extracted_group_bytes,signal-ID/offset tables 0x25902/0x2591E plus application_com_receive_signal_group_bytes callers
89,opaque_pdu_bytes,0x68368,898,7dc15cabdff702996c79e0a31ad163e1ee9b6972aae82c87a732204f4eb3817a,0x68368,103,64,0,0,COM+0x67/opaque-shadow,8,opaque PDU bytes consumed by crypto-test shadow/stability logic; no stable per-signal RAM dest,0x25902,0x2593A,extracted_group_bytes,signal-ID/offset tables 0x25902/0x2591E plus application_com_receive_signal_group_bytes callers
90,opaque_pdu_bytes,0x68368,898,7dc15cabdff702996c79e0a31ad163e1ee9b6972aae82c87a732204f4eb3817a,0x68368,111,64,0,0,COM+0x6F/opaque-shadow,8,opaque PDU bytes consumed by crypto-test shadow/stability logic; no stable per-signal RAM dest,0x25902,0x2593A,extracted_group_bytes,signal-ID/offset tables 0x25902/0x2591E plus application_com_receive_signal_group_bytes callers
91,opaque_pdu_bytes,0x68368,898,7dc15cabdff702996c79e0a31ad163e1ee9b6972aae82c87a732204f4eb3817a,0x68368,119,64,0,0,COM+0x77/opaque-shadow,8,opaque PDU bytes consumed by crypto-test shadow/stability logic; no stable per-signal RAM dest,0x25902,0x2593A,extracted_group_bytes,signal-ID/offset tables 0x25902/0x2591E plus application_com_receive_signal_group_bytes callers
92,opaque_pdu_bytes,0x68368,898,7dc15cabdff702996c79e0a31ad163e1ee9b6972aae82c87a732204f4eb3817a,0x68368,127,64,0,0,COM+0x7F/opaque-shadow,8,opaque PDU bytes consumed by crypto-test shadow/stability logic; no stable per-signal RAM dest,0x25902,0x2593A,extracted_group_bytes,signal-ID/offset tables 0x25902/0x2591E plus application_com_receive_signal_group_bytes callers
93,opaque_pdu_bytes,0x68368,898,7dc15cabdff702996c79e0a31ad163e1ee9b6972aae82c87a732204f4eb3817a,0x68368,135,64,0,0,COM+0x87/opaque-shadow,8,opaque PDU bytes consumed by crypto-test shadow/stability logic; no stable per-signal RAM dest,0x25902,0x2593A,extracted_group_bytes,signal-ID/offset tables 0x25902/0x2591E plus application_com_receive_signal_group_bytes callers
94,opaque_pdu_bytes,0x68368,898,7dc15cabdff702996c79e0a31ad163e1ee9b6972aae82c87a732204f4eb3817a,0x68368,143,64,0,0,COM+0x8F/opaque-shadow,8,opaque PDU bytes consumed by crypto-test shadow/stability logic; no stable per-signal RAM dest,0x25902,0x2593A,extracted_group_bytes,signal-ID/offset tables 0x25902/0x2591E plus application_com_receive_signal_group_bytes callers
95,opaque_pdu_bytes,0x6875E,996,adc75189ed1737d225726dff949d5fd85fd391ae5803cc607230c8bf06fb8526,0x6875E,151,64,0,0,COM+0x97/opaque-shadow,8,opaque PDU bytes consumed by crypto-test shadow/stability logic; no stable per-signal RAM dest,0x25902,0x2593A,extracted_group_bytes,signal-ID/offset tables 0x25902/0x2591E plus application_com_receive_signal_group_bytes callers
96,opaque_pdu_bytes,0x6875E,996,adc75189ed1737d225726dff949d5fd85fd391ae5803cc607230c8bf06fb8526,0x6875E,152,64,0,0,COM+0x98/opaque-shadow,8,opaque PDU bytes consumed by crypto-test shadow/stability logic; no stable per-signal RAM dest,0x25902,0x2593A,extracted_group_bytes,signal-ID/offset tables 0x25902/0x2591E plus application_com_receive_signal_group_bytes callers
97,opaque_pdu_bytes,0x6875E,996,adc75189ed1737d225726dff949d5fd85fd391ae5803cc607230c8bf06fb8526,0x6875E,159,64,0,0,COM+0x9F/opaque-shadow,8,opaque PDU bytes consumed by crypto-test shadow/stability logic; no stable per-signal RAM dest,0x25902,0x2593A,extracted_group_bytes,signal-ID/offset tables 0x25902/0x2591E plus application_com_receive_signal_group_bytes callers
98,opaque_pdu_bytes,0x6875E,996,adc75189ed1737d225726dff949d5fd85fd391ae5803cc607230c8bf06fb8526,0x6875E,167,64,0,0,COM+0xA7/opaque-shadow,8,opaque PDU bytes consumed by crypto-test shadow/stability logic; no stable per-signal RAM dest,0x25902,0x2593A,extracted_group_bytes,signal-ID/offset tables 0x25902/0x2591E plus application_com_receive_signal_group_bytes callers
99,opaque_pdu_bytes,0x6875E,996,adc75189ed1737d225726dff949d5fd85fd391ae5803cc607230c8bf06fb8526,0x6875E,175,64,0,0,COM+0xAF/opaque-shadow,8,opaque PDU bytes consumed by crypto-test shadow/stability logic; no stable per-signal RAM dest,0x25902,0x2593A,extracted_group_bytes,signal-ID/offset tables 0x25902/0x2591E plus application_com_receive_signal_group_bytes callers
100,opaque_pdu_bytes,0x6875E,996,adc75189ed1737d225726dff949d5fd85fd391ae5803cc607230c8bf06fb8526,0x6875E,183,64,0,0,COM+0xB7/opaque-shadow,8,opaque PDU bytes consumed by crypto-test shadow/stability logic; no stable per-signal RAM dest,0x25902,0x2593A,extracted_group_bytes,signal-ID/offset tables 0x25902/0x2591E plus application_com_receive_signal_group_bytes callers
101,bitfield,0x4A4BC,226,17bda0b34161afb64a43de4f46c3d9ae639079fe9d8d6fcc66b760c2ee496b2f,0x4A4EA,191,1,7,0,0xFEBE7FB7,1,0x56FC2,0x4A4BC,0x4A4EA,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
102,bitfield,0x4A4BC,226,17bda0b34161afb64a43de4f46c3d9ae639079fe9d8d6fcc66b760c2ee496b2f,0x4A504,194,1,6,0,0xFEBE7FB8,1,0x56FC2,0x4A4C4,0x4A504,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
103,bitfield,0x4A4BC,226,17bda0b34161afb64a43de4f46c3d9ae639079fe9d8d6fcc66b760c2ee496b2f,0x4A51E,194,2,4,0,0xFEBE7FB9,1,0x56FC2,0x4A4DE,0x4A51E,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
104,bitfield,0x4A4BC,226,17bda0b34161afb64a43de4f46c3d9ae639079fe9d8d6fcc66b760c2ee496b2f,0x4A538,194,1,0,0,0xFEBE7FBA,1,0x56FC2,0x4A4F8,0x4A538,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
105,bitfield,0x4A4BC,226,17bda0b34161afb64a43de4f46c3d9ae639079fe9d8d6fcc66b760c2ee496b2f,0x4A552,195,8,0,0,0xFEBE7FBB,1,0x56FC2,0x4A512,0x4A552,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
106,bitfield,0x4A4BC,226,17bda0b34161afb64a43de4f46c3d9ae639079fe9d8d6fcc66b760c2ee496b2f,0x4A56C,196,8,0,0,0xFEBE7FBC,1,0x56FC2,0x4A52C,0x4A56C,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
107,bitfield,0x4A4BC,226,17bda0b34161afb64a43de4f46c3d9ae639079fe9d8d6fcc66b760c2ee496b2f,0x4A588,197,8,0,1,0xFEBE7FBD,1,configured-unresolved; bound=Ghidra READ xref of dest excluding COM unpacker cluster 0x4A200-0x4B700,0x4A548,0x4A588,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
108,none,0x0,0,none,0x0,191,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225BC,0x225BE,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
109,bitfield,0x4A5A2,228,0fbc727b3f2c90e22ec7affca9278d61bd83456a9a46f32a6b2c22e30bcf78a8,0x4A5D0,199,1,3,0,0xFEBE7FC2,1,0x56FC2,0x4A5A2,0x4A5D0,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
110,bitfield,0x4A5A2,228,0fbc727b3f2c90e22ec7affca9278d61bd83456a9a46f32a6b2c22e30bcf78a8,0x4A5EA,199,1,2,0,0xFEBE7FC3,1,0x56FC2,0x4A5AA,0x4A5EA,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
111,bitfield,0x4A5A2,228,0fbc727b3f2c90e22ec7affca9278d61bd83456a9a46f32a6b2c22e30bcf78a8,0x4A656,199,1,1,0,0xFEBE7FC4,1,0x56FC2,0x4A616,0x4A656,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
112,bitfield,0x4A5A2,228,0fbc727b3f2c90e22ec7affca9278d61bd83456a9a46f32a6b2c22e30bcf78a8,0x4A604,199,1,0,0,0xFEBE7FC5,1,0x56FC2,0x4A5C4,0x4A604,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
113,bitfield,0x4A5A2,228,0fbc727b3f2c90e22ec7affca9278d61bd83456a9a46f32a6b2c22e30bcf78a8,0x4A61E,200,6,0,0,0xFEBE7FC6,1,0x56FC2,0x4A5DE,0x4A61E,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
114,bitfield,0x4A5A2,228,0fbc727b3f2c90e22ec7affca9278d61bd83456a9a46f32a6b2c22e30bcf78a8,0x4A63C,201,16,0,1,0xFEBE7FBE,2,0x56FC2,0x4A5FC,0x4A63C,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
115,bitfield,0x4A5A2,228,0fbc727b3f2c90e22ec7affca9278d61bd83456a9a46f32a6b2c22e30bcf78a8,0x4A670,203,4,4,0,0xFEBE7FC7,1,configured-unresolved; bound=Ghidra READ xref of dest excluding COM unpacker cluster 0x4A200-0x4B700,0x4A630,0x4A670,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
116,none,0x0,0,none,0x0,199,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225CC,0x225CE,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
117,bitfield,0x4A68A,154,afd3c31b63b770e66797585a5495ee151141e495c9ddc91f7dec67e19d4ec4e3,0x4A6BC,207,16,0,1,0xFEBE7FC8,2,0x56FC2,0x4A68A,0x4A6BC,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
118,bitfield,0x4A68A,154,afd3c31b63b770e66797585a5495ee151141e495c9ddc91f7dec67e19d4ec4e3,0x4A6DA,209,16,0,1,0xFEBE7FCA,2,0x56FC2,0x4A69A,0x4A6DA,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
119,bitfield,0x4A68A,154,afd3c31b63b770e66797585a5495ee151141e495c9ddc91f7dec67e19d4ec4e3,0x4A6F4,211,2,6,0,0xFEBE7FCC,1,0x56FC2,0x4A6B4,0x4A6F4,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
120,bitfield,0x4A68A,154,afd3c31b63b770e66797585a5495ee151141e495c9ddc91f7dec67e19d4ec4e3,0x4A70E,211,2,4,0,0xFEBE7FCD,1,0x56FC2,0x4A6CE,0x4A70E,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
121,none,0x0,0,none,0x0,207,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225D6,0x225D8,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
122,none,0x0,0,none,0x0,215,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225D8,0x225DA,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
123,none,0x0,0,none,0x0,215,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225DA,0x225DC,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
124,bitfield,0x4A728,94,741dca51a07502ccfb764dbb2bf79494962a50b904732c7b3bea1056523a3901,0x4A770,217,1,6,0,0xFEBE7FD1,1,0x56FC2,0x4A730,0x4A770,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
125,none,0x0,0,none,0x0,215,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225DE,0x225E0,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
126,none,0x0,0,none,0x0,215,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225E0,0x225E2,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
127,none,0x0,0,none,0x0,215,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225E2,0x225E4,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
128,bitfield,0x4A728,94,741dca51a07502ccfb764dbb2bf79494962a50b904732c7b3bea1056523a3901,0x4A756,217,3,0,0,0xFEBE7FD0,1,0x52D3C,0x4A728,0x4A756,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
129,none,0x0,0,none,0x0,215,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225E6,0x225E8,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
130,none,0x0,0,none,0x0,215,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225E8,0x225EA,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
131,none,0x0,0,none,0x0,215,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225EA,0x225EC,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
132,none,0x0,0,none,0x0,215,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225EC,0x225EE,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
133,none,0x0,0,none,0x0,223,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225EE,0x225F0,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
134,none,0x0,0,none,0x0,223,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225F0,0x225F2,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
135,none,0x0,0,none,0x0,223,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225F2,0x225F4,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
136,bitfield,0x4A78A,94,9f4687951983991ae633478664c8237b5542eff839da42c65ff699c185dad7f4,0x4A7D2,223,1,4,0,0xFEBE7FD7,1,0x56FC2,0x4A792,0x4A7D2,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
137,none,0x0,0,none,0x0,223,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225F6,0x225F8,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
138,none,0x0,0,none,0x0,223,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225F8,0x225FA,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
139,none,0x0,0,none,0x0,223,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225FA,0x225FC,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
140,none,0x0,0,none,0x0,223,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x225FC,0x225FE,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
141,bitfield,0x4A78A,94,9f4687951983991ae633478664c8237b5542eff839da42c65ff699c185dad7f4,0x4A7B8,225,1,0,0,0xFEBE7FD6,1,0x492CA,0x4A78A,0x4A7B8,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
142,none,0x0,0,none,0x0,223,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x22600,0x22602,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
143,none,0x0,0,none,0x0,223,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x22602,0x22604,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
144,bitfield,0x4A7EC,122,17d89bb4d3b714c2ee01abcd8d44748dbe7b30cddf46b9b0d6ac7e746618c2c2,0x4A836,231,6,2,0,0xFEBE7FDC,1,configured-unresolved; bound=Ghidra READ xref of dest excluding COM unpacker cluster 0x4A200-0x4B700,0x4A7F6,0x4A836,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
145,none,0x0,0,none,0x0,231,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x22606,0x22608,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
146,bitfield,0x4A7EC,122,17d89bb4d3b714c2ee01abcd8d44748dbe7b30cddf46b9b0d6ac7e746618c2c2,0x4A850,232,1,3,0,0xFEBE7FDD,1,0x56FC2,0x4A810,0x4A850,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
147,none,0x0,0,none,0x0,231,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x2260A,0x2260C,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
148,none,0x0,0,none,0x0,231,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x2260C,0x2260E,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
149,none,0x0,0,none,0x0,231,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x2260E,0x22610,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
