address,name,size,access,comment
0xFFD62004,FCU_CMD_WINDOW_0,4,rw,FCU command window slot 0 (boot flash init path)
0xFFD62008,FCU_CMD_WINDOW_1,4,rw,FCU command window slot 1 (boot flash init path)
0xFFD6200C,FCU_CMD_WINDOW_2,4,rw,FCU command window slot 2 (boot flash init path)
0xFFD62010,FCU_CMD_WINDOW_3,4,rw,FCU command window slot 3 (boot flash init path)
0xFFD62014,FCU_CMD_WINDOW_4,4,rw,FCU command window slot 4 (boot flash init path)
0xFFD62018,FCU_CMD_WINDOW_5,4,rw,FCU command window slot 5 (boot flash init path)
0xFFD6201C,FCU_CMD_WINDOW_6,4,rw,FCU command window slot 6 (boot flash init path)
0xFFD62020,FCU_CMD_WINDOW_7,4,rw,FCU command window slot 7 (boot flash init path)
0xFFD62024,FCU_CMD_WINDOW_8,4,rw,FCU command window slot 8 (boot flash init path)
0xFFD62028,FCU_PROT_CTRL,4,rw,FCU protection control (write sequence: clear/set/clear with FKEY)
0xFFD6202C,FCU_PROT_CTRL_1,4,rw,FCU protection control slot 1 (blank check enable/disable)
0xFFD62030,FCU_PROT_CTRL_2,4,rw,FCU protection control slot 2 (write-protect toggle)
0xFFD62034,FCU_CMD_SEQUENCE,4,rw,FCU command sequence register; 3-word write with FKEY=0xA5
0xFFD62038,FCU_CMD_SEQUENCE_1,4,rw,FCU command sequence slot 1 (alternate sequence)
0xFFD6203C,FCU_CMD_SEQUENCE_2,4,rw,FCU command sequence slot 2 (alternate sequence)
0xFFD62040,FKEY,4,w,FCU enable key register; write 0xA5 before FCU command sequences
0xFFD62044,FSTS,1,r,FCU status readback; polled after each command sequence
# ADCG result-source registers and DMAC channel-master settings used by the
# TAUJ0 CH0 phase-sample acquisition path. P1M-E manual register table maps
# ADCG0DIR00/ADCG1DIR00 at FFF91200/FFF92200 and DM00CM/DM10CM at
# FFFF8100/FFFF8120. Firmware DMA descriptors pair those ADCG sources with
# Global RAM destinations FEEF81E0/FEEF8A20.
0xFFF91200,ADCG0DIR00,4,r,ADCG0 data supplementary information register 00; DMA source for sample ring
0xFFF92200,ADCG1DIR00,4,r,ADCG1 data supplementary information register 00; DMA source for sample ring
0xFFFF8100,DM00CM,4,rw,DMAC0 channel 0 channel master setting register
0xFFFF8120,DM10CM,4,rw,DMAC1 channel 0 channel master setting register
# TSG3 motor-control timer extended HT-PWM compare registers. P1M-E manual
# section 25.1.2 gives bases FFE70000/FFE71000; sections 25.3.48-50 define
# 32-bit U/V/W extended compare registers at offsets 0x188/0x184/0x180.
0xFFE70180,TSG30CMPWE,4,rw,TSG30 bit-extended HT-PWM W-phase compare register
0xFFE70184,TSG30CMPVE,4,rw,TSG30 bit-extended HT-PWM V-phase compare register
0xFFE70188,TSG30CMPUE,4,rw,TSG30 bit-extended HT-PWM U-phase compare register
0xFFE71180,TSG31CMPWE,4,rw,TSG31 bit-extended HT-PWM W-phase compare register
0xFFE71184,TSG31CMPVE,4,rw,TSG31 bit-extended HT-PWM V-phase compare register
0xFFE71188,TSG31CMPUE,4,rw,TSG31 bit-extended HT-PWM U-phase compare register
