switch_addr,in_function,function_addr,table_base,bound_kind,bound_size,validate_ok,fail_reason
000d4870,N,-,000d4872,,0,N,no-bound
000d4894,N,-,000d4896,,0,N,no-bound
000d48b8,N,-,000d48ba,,0,N,no-bound
000d48dc,N,-,000d48de,,0,N,no-bound
000d4900,N,-,000d4902,,0,N,no-bound
000d4924,N,-,000d4926,,0,N,no-bound
000d4948,N,-,000d494a,,0,N,no-bound
000d496c,N,-,000d496e,,0,N,no-bound
000d4990,N,-,000d4992,,0,N,no-bound
000d49b4,N,-,000d49b6,,0,N,no-bound
000d49d8,N,-,000d49da,,0,N,no-bound
000d49fc,N,-,000d49fe,,0,N,no-bound
000d4a20,N,-,000d4a22,,0,N,no-bound
000d4a44,N,-,000d4a46,,0,N,no-bound
000d4a68,N,-,000d4a6a,,0,N,no-bound
000d4a8c,N,-,000d4a8e,,0,N,no-bound
000d4ab0,N,-,000d4ab2,,0,N,no-bound
000d4ad4,N,-,000d4ad6,,0,N,no-bound
000d4af8,N,-,000d4afa,,0,N,no-bound
000d4b1c,N,-,000d4b1e,,0,N,no-bound
000d4b40,N,-,000d4b42,,0,N,no-bound
000d4b64,N,-,000d4b66,,0,N,no-bound
000d4b88,N,-,000d4b8a,,0,N,no-bound
000d4bac,N,-,000d4bae,,0,N,no-bound
000d4bd0,N,-,000d4bd2,,0,N,no-bound
000d4bf4,N,-,000d4bf6,,0,N,no-bound
000d4c18,N,-,000d4c1a,,0,N,no-bound
000d4c3c,N,-,000d4c3e,,0,N,no-bound
000d4c60,N,-,000d4c62,,0,N,no-bound
000d4c84,N,-,000d4c86,,0,N,no-bound
000d4ca8,N,-,000d4caa,,0,N,no-bound
000d4ccc,N,-,000d4cce,,0,N,no-bound
000d4cf0,N,-,000d4cf2,,0,N,no-bound
000d4d14,N,-,000d4d16,,0,N,no-bound
000d4d38,N,-,000d4d3a,,0,N,no-bound
