entry_addr,body_bytes,name,name_source,is_thunk,calling_convention,caller_count,callee_count,root_kind,ram_ref_count,mmio_ref_count,codeflash_data_ref_count,string_ref_count,subsystem,evidence_grade
0x00001560,62,FUN_00001560,DEFAULT,false,__stdcall,1,0,,0,2,0,0,boot,recovered
0x0000159e,22,bootloader_hard_reset_wait,USER_DEFINED,false,__stdcall,3,3,,0,0,0,0,boot,annotated
0x000015b4,12,FUN_000015b4,DEFAULT,false,__stdcall,1,0,,0,0,0,0,boot,recovered
0x000015c0,102,FUN_000015c0,DEFAULT,false,__stdcall,2,0,,0,0,0,0,boot,recovered
0x00001626,86,FUN_00001626,DEFAULT,false,__stdcall,1,0,,0,0,1,0,boot,recovered
0x0000167c,32,FUN_0000167c,DEFAULT,false,__stdcall,2,2,,0,0,0,0,boot,recovered
0x0000169c,86,FUN_0000169c,DEFAULT,false,__stdcall,1,0,,0,0,2,0,boot,recovered
0x000016f2,214,FUN_000016f2,DEFAULT,false,__stdcall,1,5,,0,0,6,0,boot,recovered
0x000017c8,1014,FUN_000017c8,DEFAULT,false,__stdcall,1,0,,0,239,2,0,boot,recovered
0x00001bbe,98,FUN_00001bbe,DEFAULT,false,__stdcall,2,2,,0,4,0,0,boot,recovered
0x00001c20,64,FUN_00001c20,DEFAULT,false,__stdcall,1,0,,0,0,2,0,boot,recovered
0x00001c60,64,FUN_00001c60,DEFAULT,false,__stdcall,1,0,,0,0,1,0,boot,recovered
0x00001ca0,72,FUN_00001ca0,DEFAULT,false,__stdcall,1,2,,0,0,0,0,boot,recovered
0x00001ce8,12,FUN_00001ce8,DEFAULT,false,__stdcall,1,1,,0,0,0,0,boot,recovered
0x00001d0e,6,FUN_00001d0e,DEFAULT,false,__stdcall,2,0,,0,0,0,0,boot,recovered
0x00001d24,8,FUN_00001d24,DEFAULT,false,__stdcall,12,0,,0,0,0,0,boot,recovered
0x00001d58,24,FUN_00001d58,DEFAULT,false,__interrupt,0,1,interrupt,0,0,0,0,boot,recovered
0x00001d70,14,FUN_00001d70,DEFAULT,false,__stdcall,7,0,,1,0,0,0,boot,recovered
0x00001d9a,106,FUN_00001d9a,DEFAULT,false,__stdcall,1,4,,4,0,4,0,boot,recovered
0x00001e04,12,FUN_00001e04,DEFAULT,false,__stdcall,1,1,,0,0,0,0,boot,recovered
0x00001e10,14,FUN_00001e10,DEFAULT,false,__stdcall,2,1,,0,0,0,0,boot,recovered
0x00001e1e,8,boot_default_exception_handler,USER_DEFINED,false,__interrupt,0,1,interrupt,0,0,0,0,boot,annotated
0x00001e2a,12,boot_secondary_exception_handler,USER_DEFINED,false,__interrupt,0,1,interrupt,0,0,0,0,boot,annotated
0x00001e36,14,boot_fatal_exception_trap,USER_DEFINED,false,__interrupt,0,1,interrupt,0,0,0,0,boot,annotated
0x00001e44,12,boot_tauj0_ch2_isr,USER_DEFINED,false,__interrupt,0,1,interrupt,0,0,0,0,boot,annotated
0x00001e50,14,boot_can0_rx_isr,USER_DEFINED,false,__interrupt,0,1,interrupt,0,0,0,0,boot,annotated
0x00001e5e,14,boot_can0_tx_isr,USER_DEFINED,false,__interrupt,0,1,interrupt,0,0,0,0,boot,annotated
0x00001e6c,14,boot_can1_rx_isr,USER_DEFINED,false,__interrupt,0,1,interrupt,0,0,0,0,boot,annotated
0x00001e7a,14,boot_can1_tx_isr,USER_DEFINED,false,__interrupt,0,1,interrupt,0,0,0,0,boot,annotated
0x00001e88,14,boot_can2_rx_isr,USER_DEFINED,false,__interrupt,0,1,interrupt,0,0,0,0,boot,annotated
0x00001e96,14,boot_can2_tx_isr,USER_DEFINED,false,__interrupt,0,1,interrupt,0,0,0,0,boot,annotated
0x00001ea4,14,boot_unexpected_eiint_trap,USER_DEFINED,false,__interrupt,0,1,interrupt,0,0,0,0,boot,annotated
0x00001ec0,30,cantp_canif_transmit,USER_DEFINED,false,__stdcall,6,1,,0,0,0,0,boot,annotated
0x00001ede,16,FUN_00001ede,DEFAULT,false,__stdcall,3,1,,0,0,0,0,boot,recovered
0x00001eee,30,cantp_rx_indication_callback,USER_DEFINED,false,__stdcall,0,1,,0,0,0,0,boot,annotated
0x00001f0c,24,cantp_tx_confirmation_callback,USER_DEFINED,false,__stdcall,0,1,,0,0,0,0,boot,annotated
0x00001f24,50,FUN_00001f24,DEFAULT,false,__stdcall,1,0,,11,0,0,0,boot,recovered
0x00001f60,56,FUN_00001f60,DEFAULT,false,__stdcall,14,0,,1,0,1,0,boot,recovered
0x00001f98,174,cantp_send_flow_control_cts,USER_DEFINED,false,__stdcall,2,3,,3,0,10,0,boot,annotated
0x00002046,158,FUN_00002046,DEFAULT,false,__stdcall,2,4,,3,0,4,0,boot,recovered
0x000020e4,222,cantp_send_consecutive_frame,USER_DEFINED,false,__stdcall,3,4,,4,0,6,0,boot,annotated
0x000021c2,142,FUN_000021c2,DEFAULT,false,__stdcall,1,4,,3,0,2,0,boot,recovered
0x00002250,52,FUN_00002250,DEFAULT,false,__stdcall,1,2,,2,0,0,0,boot,recovered
0x00002284,70,FUN_00002284,DEFAULT,false,__stdcall,1,0,,0,0,3,0,boot,recovered
0x000022ca,134,FUN_000022ca,DEFAULT,false,__stdcall,2,3,,2,0,6,0,boot,recovered
0x00002350,104,FUN_00002350,DEFAULT,false,__stdcall,2,3,,2,0,5,0,boot,recovered
0x000023b8,114,FUN_000023b8,DEFAULT,false,__stdcall,1,3,,1,0,2,0,boot,recovered
0x0000242a,166,cantp_handle_single_frame,USER_DEFINED,false,__stdcall,1,3,,1,0,2,0,boot,annotated
0x000024d0,196,cantp_send_flow_control_wait,USER_DEFINED,false,__stdcall,2,3,,2,0,11,0,boot,annotated
0x00002594,162,FUN_00002594,DEFAULT,false,__stdcall,3,5,,2,0,4,0,boot,recovered
0x00002636,156,cantp_send_flow_control_overflow,USER_DEFINED,false,__stdcall,2,2,,1,0,9,0,boot,annotated
0x000026d2,262,FUN_000026d2,DEFAULT,false,__stdcall,1,6,,6,0,5,0,boot,recovered
0x000027d8,176,cantp_handle_first_frame,USER_DEFINED,false,__stdcall,1,3,,1,0,3,0,boot,annotated
0x00002888,190,FUN_00002888,DEFAULT,false,__stdcall,1,4,,4,0,6,0,boot,recovered
0x00002946,158,cantp_handle_consecutive_frame,USER_DEFINED,false,__stdcall,1,3,,4,0,5,0,boot,annotated
0x000029e4,46,FUN_000029e4,DEFAULT,false,__stdcall,1,0,,3,0,0,0,boot,recovered
0x00002a12,184,FUN_00002a12,DEFAULT,false,__stdcall,2,4,,2,0,2,0,boot,recovered
0x00002aca,26,FUN_00002aca,DEFAULT,false,__stdcall,1,1,,2,0,1,0,boot,recovered
0x00002ae4,166,cantp_handle_flow_control_frame,USER_DEFINED,false,__stdcall,1,5,,2,0,5,0,boot,annotated
0x00002b8a,140,CanTp_RxIndication,USER_DEFINED,false,__stdcall,1,5,,1,0,1,0,boot,annotated
0x00002c16,190,cantp_send_first_frame,USER_DEFINED,false,__stdcall,1,3,,4,0,5,0,boot,annotated
0x00002cd4,180,cantp_send_single_frame,USER_DEFINED,false,__stdcall,1,3,,2,0,6,0,boot,annotated
0x00002d88,170,CanTp_Transmit,USER_DEFINED,false,__stdcall,2,2,,2,0,2,0,boot,annotated
0x00002e32,84,FUN_00002e32,DEFAULT,false,__stdcall,1,0,,2,0,3,0,boot,recovered
0x00002e86,70,FUN_00002e86,DEFAULT,false,__stdcall,1,2,,2,0,2,0,boot,recovered
0x00002ecc,80,FUN_00002ecc,DEFAULT,false,__stdcall,1,3,,6,0,1,0,boot,recovered
0x00002f1c,156,CanTp_TxConfirmation,USER_DEFINED,false,__stdcall,1,6,,3,0,3,0,boot,annotated
0x00002fb8,72,FUN_00002fb8,DEFAULT,false,__stdcall,1,3,,2,0,0,0,boot,recovered
0x00003000,210,FUN_00003000,DEFAULT,false,__stdcall,1,4,,2,0,3,0,boot,recovered
0x000030d2,82,FUN_000030d2,DEFAULT,false,__stdcall,0,2,,3,0,2,0,boot,recovered
0x000032d2,70,boot_memory_range_check_access,USER_DEFINED,false,__stdcall,2,0,,0,0,8,0,boot,annotated
0x00003318,70,boot_memory_range_get_auth_bit,USER_DEFINED,false,__stdcall,0,0,,0,0,8,0,boot,annotated
0x0000335e,52,boot_memory_region_find,USER_DEFINED,false,__stdcall,1,0,,0,0,2,0,boot,annotated
0x00003392,58,boot_memory_region_get_cmac_tag,USER_DEFINED,false,__stdcall,1,0,,0,0,4,0,boot,annotated
0x000033cc,54,boot_memory_region_get_marker_address,USER_DEFINED,false,__stdcall,1,0,,0,0,4,0,boot,annotated
0x00003402,54,FUN_00003402,DEFAULT,false,__stdcall,1,0,,0,0,4,0,boot,recovered
0x00003438,20,boot_memory_region_get_crc_count,USER_DEFINED,false,__stdcall,1,0,,0,0,1,0,boot,annotated
0x0000344c,20,boot_memory_region_get_crc_descriptors,USER_DEFINED,false,__stdcall,1,0,,0,0,1,0,boot,annotated
0x00003460,20,FUN_00003460,DEFAULT,false,__stdcall,3,0,,0,0,0,0,boot,recovered
0x00003474,52,FUN_00003474,DEFAULT,false,__stdcall,1,0,,0,0,4,0,boot,recovered
0x000034a8,50,FUN_000034a8,DEFAULT,false,__stdcall,3,0,,0,0,4,0,boot,recovered
0x000034da,44,FUN_000034da,DEFAULT,false,__stdcall,1,0,,2,0,3,0,boot,recovered
0x00003506,76,FUN_00003506,DEFAULT,false,__stdcall,1,2,,2,0,3,0,boot,recovered
0x00003552,16,FUN_00003552,DEFAULT,false,__stdcall,1,0,,1,0,1,0,boot,recovered
0x00003562,34,FUN_00003562,DEFAULT,false,__stdcall,1,1,,0,0,0,0,boot,recovered
0x00003584,56,FUN_00003584,DEFAULT,false,__stdcall,1,2,,0,0,3,0,boot,recovered
0x000035bc,40,FUN_000035bc,DEFAULT,false,__stdcall,1,1,,4,0,0,0,boot,recovered
0x000035e4,48,FUN_000035e4,DEFAULT,false,__stdcall,1,0,,3,0,2,0,boot,recovered
0x00003614,136,FUN_00003614,DEFAULT,false,__stdcall,1,0,,0,0,0,0,boot,recovered
0x0000369c,34,FUN_0000369c,DEFAULT,false,__stdcall,1,0,,0,0,2,0,boot,recovered
0x000036be,30,FUN_000036be,DEFAULT,false,__stdcall,1,4,,1,0,1,0,boot,recovered
0x000036de,112,rscfd_tx_buffer_submit,USER_DEFINED,false,__stdcall,1,1,,0,6,0,0,boot,annotated
0x0000374e,110,Can_Write,USER_DEFINED,false,__stdcall,1,3,,1,0,0,0,boot,annotated
0x000037bc,40,FUN_000037bc,DEFAULT,false,__stdcall,1,1,,0,1,0,0,boot,recovered
0x000037e4,52,FUN_000037e4,DEFAULT,false,__stdcall,1,3,,1,0,0,0,boot,recovered
0x00003818,12,FUN_00003818,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x00003824,72,FUN_00003824,DEFAULT,false,__stdcall,1,1,,0,1,0,0,boot,recovered
0x0000386c,156,FUN_0000386c,DEFAULT,false,__stdcall,1,0,,0,37,0,0,boot,recovered
0x00003908,16,FUN_00003908,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x00003918,42,FUN_00003918,DEFAULT,false,__stdcall,1,1,,0,1,0,0,boot,recovered
0x00003942,42,FUN_00003942,DEFAULT,false,__stdcall,1,0,,0,12,0,0,boot,recovered
0x0000396c,12,FUN_0000396c,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x00003978,32,FUN_00003978,DEFAULT,false,__stdcall,1,0,,0,2,0,0,boot,recovered
0x00003998,14,FUN_00003998,DEFAULT,false,__stdcall,1,0,,0,0,0,0,boot,recovered
0x000039a6,26,FUN_000039a6,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x000039c0,22,FUN_000039c0,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x000039d6,66,FUN_000039d6,DEFAULT,false,__stdcall,1,0,,0,4,0,0,boot,recovered
0x00003a18,30,FUN_00003a18,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x00003a36,52,FUN_00003a36,DEFAULT,false,__stdcall,1,0,,0,2,0,0,boot,recovered
0x00003a6a,36,FUN_00003a6a,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x00003a8e,16,FUN_00003a8e,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x00003a9e,28,FUN_00003a9e,DEFAULT,false,__stdcall,1,1,,0,0,1,0,boot,recovered
0x00003aba,28,FUN_00003aba,DEFAULT,false,__stdcall,1,1,,0,0,1,0,boot,recovered
0x00003ad6,30,FUN_00003ad6,DEFAULT,false,__stdcall,1,1,,0,1,0,0,boot,recovered
0x00003af4,44,FUN_00003af4,DEFAULT,false,__stdcall,1,1,,0,1,0,0,boot,recovered
0x00003b20,28,FUN_00003b20,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x00003b3c,736,FUN_00003b3c,DEFAULT,false,__stdcall,1,21,,2,5,13,0,boot,recovered
0x00003e1c,44,FUN_00003e1c,DEFAULT,false,__stdcall,1,0,,0,4,0,0,boot,recovered
0x00003e48,22,FUN_00003e48,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x00003e5e,34,FUN_00003e5e,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x00003e80,36,FUN_00003e80,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x00003ea4,78,FUN_00003ea4,DEFAULT,false,__stdcall,1,5,,0,0,0,0,boot,recovered
0x00003ef2,88,FUN_00003ef2,DEFAULT,false,__stdcall,3,2,,0,0,2,0,boot,recovered
0x00003f4a,22,FUN_00003f4a,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x00003f60,24,FUN_00003f60,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x00003f78,30,FUN_00003f78,DEFAULT,false,__stdcall,1,0,,0,1,0,0,boot,recovered
0x00003f96,110,rscfd_common_fifo_read,USER_DEFINED,false,__stdcall,1,2,,0,4,0,0,boot,annotated
0x0000400a,62,rscfd_common_fifo_rx_callback,USER_DEFINED,false,__stdcall,1,2,,0,0,0,0,boot,annotated
0x00004048,90,FUN_00004048,DEFAULT,false,__stdcall,3,2,,0,0,2,0,boot,recovered
0x000040a2,62,FUN_000040a2,DEFAULT,false,__stdcall,2,0,,3,0,0,0,boot,recovered
0x000040e0,58,FUN_000040e0,DEFAULT,false,__stdcall,2,1,,0,0,0,0,boot,recovered
0x0000411a,110,FUN_0000411a,DEFAULT,false,__stdcall,1,3,,10,0,0,0,boot,recovered
0x00004188,88,flash_program_start,USER_DEFINED,false,__stdcall,2,2,,8,0,0,0,boot,annotated
0x000041e0,128,flash_erase_start,USER_DEFINED,false,__stdcall,0,4,,10,0,0,0,boot,annotated
0x00004260,6,FUN_00004260,DEFAULT,false,__stdcall,4,0,,1,0,0,0,boot,recovered
0x00004266,8,FUN_00004266,DEFAULT,false,__stdcall,5,0,,1,0,0,0,boot,recovered
0x00004276,46,flash_program_queue_bytes,USER_DEFINED,false,__stdcall,3,0,,2,0,0,0,boot,annotated
0x000042a4,52,FUN_000042a4,DEFAULT,false,__stdcall,3,2,,2,0,0,0,boot,recovered
0x000042d8,30,FUN_000042d8,DEFAULT,false,__stdcall,1,1,,0,0,0,0,boot,recovered
0x000042f6,60,FUN_000042f6,DEFAULT,false,__stdcall,1,0,,6,0,0,0,boot,recovered
0x00004332,94,flash_driver_call_block_operation,USER_DEFINED,false,__stdcall,1,2,,4,0,0,0,boot,annotated
0x00004390,46,FUN_00004390,DEFAULT,false,__stdcall,1,0,,2,0,0,0,boot,recovered
0x000043be,106,flash_driver_program_chunk,USER_DEFINED,false,__stdcall,1,2,,4,0,0,0,boot,annotated
0x00004428,360,flash_operation_task,USER_DEFINED,false,__stdcall,1,6,,11,0,0,0,boot,annotated
0x00004590,32,FUN_00004590,DEFAULT,false,__stdcall,1,0,,7,0,0,0,boot,recovered
0x000045b2,84,FUN_000045b2,DEFAULT,false,__stdcall,1,1,,0,0,6,0,boot,recovered
0x00004606,114,CanIf_Transmit,USER_DEFINED,false,__stdcall,1,1,,0,0,6,0,boot,annotated
0x00004678,118,CanIf_RxIndication,USER_DEFINED,false,__stdcall,1,1,,0,0,8,0,boot,annotated
0x000046ee,86,FUN_000046ee,DEFAULT,false,__stdcall,2,1,,0,0,8,0,boot,recovered
0x00004744,24,FUN_00004744,DEFAULT,false,__stdcall,1,1,,0,0,0,0,boot,recovered
0x0000475c,24,FUN_0000475c,DEFAULT,false,__stdcall,1,1,,0,0,0,0,boot,recovered
0x00004776,24,bootloader_main_operation_reserve,USER_DEFINED,false,__stdcall,1,0,,2,0,0,0,boot,annotated
0x0000478e,6,FUN_0000478e,DEFAULT,false,__stdcall,1,0,,1,0,0,0,boot,recovered
0x00004794,6,FUN_00004794,DEFAULT,false,__stdcall,1,0,,1,0,0,0,boot,recovered
0x0000479a,18,bootloader_main_operation_release,USER_DEFINED,false,__stdcall,1,0,,2,0,0,0,boot,annotated
0x000047ac,12,bootloader_main_operation_initialize,USER_DEFINED,false,__stdcall,1,0,,2,0,0,0,boot,annotated
0x000047ba,36,memory_crc_verify_enqueue,USER_DEFINED,false,__stdcall,0,0,,5,0,0,0,boot,annotated
0x000047de,6,memory_crc_verify_result,USER_DEFINED,false,__stdcall,2,0,,1,0,0,0,boot,annotated
0x000047e4,6,memory_crc_verify_busy,USER_DEFINED,false,__stdcall,2,0,,1,0,0,0,boot,annotated
0x000047ea,48,crc32_hardware_compute,USER_DEFINED,false,__stdcall,1,0,,0,0,0,0,boot,annotated
0x0000481a,90,memory_crc_verify_descriptors,USER_DEFINED,false,__stdcall,2,3,,0,0,0,0,boot,annotated
0x00004874,80,memory_crc_verify_task,USER_DEFINED,false,__stdcall,1,4,,4,0,0,0,boot,annotated
0x000048c4,12,FUN_000048c4,DEFAULT,false,__stdcall,1,0,,2,0,0,0,boot,recovered
0x000048d2,38,FUN_000048d2,DEFAULT,false,__stdcall,1,1,,0,0,0,0,boot,recovered
0x00004900,20,uds_write_did_negative_response,USER_DEFINED,false,__stdcall,2,1,,0,0,0,0,boot,annotated
0x00004914,52,uds_write_did_positive_response,USER_DEFINED,false,__stdcall,2,1,,4,0,1,0,boot,annotated
0x00004948,328,uds_write_data_by_identifier,USER_DEFINED,false,__stdcall,0,5,,6,0,4,0,boot,annotated
0x00004a90,10,uds_write_did_state_reset,USER_DEFINED,false,__stdcall,1,0,,2,0,0,0,boot,annotated
0x00004a9a,68,uds_write_did_completion_task,USER_DEFINED,false,__stdcall,1,3,,4,0,0,0,boot,annotated
0x00004ae2,86,FUN_00004ae2,DEFAULT,false,__stdcall,2,1,,4,0,0,0,boot,recovered
0x00004b38,34,transfer_data_negative_response_and_abort,USER_DEFINED,false,__stdcall,5,1,,1,0,0,0,boot,annotated
0x00004b5a,34,FUN_00004b5a,DEFAULT,false,__stdcall,4,1,,3,0,0,0,boot,recovered
0x00004b7c,284,FUN_00004b7c,DEFAULT,false,__stdcall,1,8,,10,0,1,0,boot,recovered
0x00004ca2,234,transfer_data_compare_request,USER_DEFINED,false,__stdcall,1,6,,9,0,1,0,boot,annotated
0x00004d8c,46,FUN_00004d8c,DEFAULT,false,__stdcall,1,1,,1,0,1,0,boot,recovered
0x00004dba,56,uds_transfer_data,USER_DEFINED,false,__stdcall,0,3,,1,0,0,0,boot,annotated
0x00004df2,160,FUN_00004df2,DEFAULT,false,__stdcall,1,6,,8,0,0,0,boot,recovered
0x00004e92,138,transfer_data_compare_task,USER_DEFINED,false,__stdcall,1,4,,9,0,0,0,boot,annotated
0x00004f1c,52,transfer_data_task_dispatch,USER_DEFINED,false,__stdcall,1,2,,3,0,0,0,boot,annotated
0x00004f50,72,FUN_00004f50,DEFAULT,false,__stdcall,1,2,,6,0,0,0,boot,recovered
0x00004f98,6,FUN_00004f98,DEFAULT,false,__stdcall,1,0,,1,0,0,0,boot,recovered
0x00004f9e,28,FUN_00004f9e,DEFAULT,false,__stdcall,2,0,,9,0,0,0,boot,recovered
0x00004fba,20,tester_present_negative_response,USER_DEFINED,false,__stdcall,1,1,,0,0,0,0,boot,annotated
0x00004fce,42,tester_present_positive_response,USER_DEFINED,false,__stdcall,1,1,,3,0,0,0,boot,annotated
0x00004ff8,104,uds_tester_present,USER_DEFINED,false,__stdcall,0,3,,2,0,2,0,boot,annotated
0x00005060,36,FUN_00005060,DEFAULT,false,__stdcall,1,0,,0,0,0,0,boot,recovered
0x00005084,2,FUN_00005084,DEFAULT,false,__stdcall,1,0,,0,0,0,0,boot,recovered
0x00005086,100,FUN_00005086,DEFAULT,false,__stdcall,1,12,,10,0,0,0,boot,recovered
0x00005148,16,FUN_00005148,DEFAULT,false,__stdcall,1,2,,0,0,0,0,boot,recovered
0x00005160,60,FUN_00005160,DEFAULT,false,__stdcall,1,1,,1,0,2,0,boot,recovered
0x0000519c,16,FUN_0000519c,DEFAULT,false,__stdcall,2,1,,1,0,0,0,boot,recovered
0x000051ac,28,bootloader_diagnostics_periodic,USER_DEFINED,false,__stdcall,1,5,,0,0,0,0,boot,annotated
0x000051c8,16,FUN_000051c8,DEFAULT,false,__stdcall,1,2,,0,0,0,0,boot,recovered
0x000051d8,34,bootloader_set_diagnostic_session,USER_DEFINED,false,__stdcall,3,3,,1,0,0,0,boot,annotated
0x000051fa,40,FUN_000051fa,DEFAULT,false,__stdcall,14,1,,4,0,0,0,boot,recovered
0x00005222,72,uds_service_dispatch,USER_DEFINED,false,__stdcall,1,3,,1,0,6,0,boot,annotated
0x0000526a,22,FUN_0000526a,DEFAULT,false,__stdcall,1,1,,0,0,0,0,boot,recovered
0x00005280,2,FUN_00005280,DEFAULT,false,__stdcall,1,0,,0,0,0,0,boot,recovered
0x00005282,2,FUN_00005282,DEFAULT,false,__stdcall,1,0,,0,0,0,0,boot,recovered
0x00005284,2,FUN_00005284,DEFAULT,false,__stdcall,2,0,,0,0,0,0,boot,recovered
0x00005286,32,program_region_validity_marker,USER_DEFINED,false,__stdcall,1,2,,0,0,0,0,boot,annotated
0x000052a6,24,FUN_000052a6,DEFAULT,false,__stdcall,3,0,,0,0,0,0,boot,recovered
0x000052be,12,FUN_000052be,DEFAULT,false,__stdcall,1,0,,1,0,0,0,boot,recovered
0x000052ca,20,FUN_000052ca,DEFAULT,false,__stdcall,2,1,,0,0,0,0,boot,recovered
0x000052de,74,FUN_000052de,DEFAULT,false,__stdcall,1,1,,7,0,0,0,boot,recovered
0x00005328,202,uds_security_access_request_seed,USER_DEFINED,false,__stdcall,1,3,,10,0,0,0,boot,annotated
0x000053f2,12,uds_security_access_send_key,USER_DEFINED,false,__stdcall,1,0,,1,0,0,0,boot,annotated
0x00005516,110,uds_security_access,USER_DEFINED,false,__stdcall,0,4,,2,0,1,0,boot,annotated
0x00005584,38,FUN_00005584,DEFAULT,false,__stdcall,1,1,,3,0,0,0,boot,recovered
0x000055aa,82,FUN_000055aa,DEFAULT,false,__stdcall,1,1,,12,0,0,0,boot,recovered
0x000055fc,46,FUN_000055fc,DEFAULT,false,__stdcall,1,0,,4,0,0,0,boot,recovered
0x0000562a,6,FUN_0000562a,DEFAULT,false,__stdcall,1,0,,1,0,0,0,boot,recovered
0x00005630,20,routine_control_negative_response,USER_DEFINED,false,__stdcall,3,1,,0,0,0,0,boot,annotated
0x00005644,58,routine_control_positive_response,USER_DEFINED,false,__stdcall,3,1,,7,0,0,0,boot,annotated
