command,semantic_name,host_methods,request_payload_length,request_layout,response_payload_length,response_layout,calling_tasks,capability_or_preconditions,result_handling,confidence,evidence
0x29,DisableSerialProgramming,DisableSerialProgramming,0,none,0,status-only,Task_Write_RV40F::_WriteConfig_RV40F; Task_WriteOption_RV40F,serial-programming option path,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x2A,SetIDCode,SetIDCode,16|96,ID-code bytes,0,status-only,Task_Write_RV40F::_WriteConfig_RV40F; Task_WriteOption_RV40F,option mode chooses short/long ID width,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x2B,GetIDCode,GetIDCode,0,none,16|96,ID-code bytes,Task_ReadOption_RV40F; UtilityRV40F::ReadOptionMemory_RX64M,option mode chooses short/long ID width,ProcessCommand exact-length response,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x2C,GetIDAuth,GetIDAuth,0,none,1,authentication-state byte,Task_SetupBaudrate_RV40F; Task_SetupBaudrate_RV40F2,after Inquiry,"ProcessCommand; host accepts 0x00/0x55/0xFF, other values become E300010D",verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x2D,SetOTP,SetOTP,98,98-byte OTP option buffer,0,status-only,Task_WriteConfig_CCC; Task_WriteOption_RV40F,OTP option present,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x2E,GetOTP,GetOTP,0,none,98,98-byte OTP option buffer,Task_ReadOption_RV40F; Task_VerifyConfig_CCC; Task_WriteOption_RV40F helper,OTP option present,ProcessCommand exact-length response,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x30,CheckIDAuth,CheckIDAuth,16|32,authentication ID bytes,0,status-only,Task_SetupBaudrate_RV40F; Task_SetupBaudrate_RV40F2,GetIDAuth indicates authentication required; width from capability/profile,SendRecvFrame; setup task retries E1000007 up to 10 times,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x32,SetFrequency,SetFrequency,8,frequency_be32 || peripheral_clock_be32,8,two returned 32-bit frequency/clock fields,Task_SetupClock_RV40F,capability/profile requires clock negotiation,ProcessCommand exact-length response; fields decoded,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x34,SetBaudrate,SetBaudrate,4,baudrate_be32,0,status-only,Task_SetupBaudrate_RV40F; Task_SetupBaudrate_RV40F2,driver mode requires target baud transition,SendRecvFrame; host reconfigures its baud after target ACK,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x36,NoticeEndian,NoticeEndian,1,endian_byte,0,status-only,Task_Connect_Generic::_ConnectRV40F,connect path determines endian notice is required,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x38,GetDeviceType,GetDeviceType,0,none,24,type_code[8] || four_be32_frequency_range_fields,Task_Connect_Generic::_ConnectRV40F,first RV40F command after generic serial mode entry / boot-code routing,"ProcessCommand; first 8 bytes become DeviceInfo capability vector, remaining four BE32 values populate FreqRangeInfo",verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x3A,GetSignature,GetSignature,0,none,58|72,signature/device-memory descriptor bytes,Task_SetupBaudrate_RV40F,no ID-auth challenge pending; response width selected by setup mode,ProcessCommand exact-length response; _SetSignatureToDeviceInfo builds memory geometry using signature plus preloaded capability vector,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x3C,GetVersion,GetVersion,0,none,3,version[3],Task_SetupBaudrate_RV40F,capability 0x1107 path,ProcessCommand exact-length response,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x48,SetOFS,SetOFS,8,OFS[8],0,status-only,Task_Write_RV40F::_WriteConfig_RV40F,capability/option path exposes OFS,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x49,GetOFS,GetOFS,0,none,8,OFS[8],UtilityRV40F::ReadOptionMemory_RX64M,capability/option path exposes OFS,ProcessCommand exact-length response,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x4A,SetEndian,SetEndian,1,endian_byte,0,status-only,Task_Write_RV40F::_WriteConfig_RV40F,configuration path requires endian change,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x4B,GetEndian,GetEndian,0,none,1,endian_byte,UtilityRV40F::ReadOptionMemory_RX64M,configuration read path,ProcessCommand exact-length response,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x4D,CheckSum,CheckSum,1,checksum_selector_byte,4,checksum_be32,Task_CheckSum_RV40F,checksum (non-CRC) path,ProcessCommand exact-length response; BE32 decode,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x4E,SetTMemory,SetTMemory,4,T-memory value[4],0,status-only,Task_Write_RV40F::_WriteConfig_RV40F,capability 0x1107/config path exposes T-memory,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x4F,GetTMemory,GetTMemory,0,none,13,mode_u8 || raw_u32 || value_be32 || value_be32,Task_SetupBaudrate_RV40F; UtilityRV40F::ReadOptionMemory_RX64M,capability 0x1107,ProcessCommand exact-length response; final two u32 are byte-reversed,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x50,AreaErase,AreaErase,1,area_index,0,status-only,Task_Erase_RV40F::_EraseRangeArea,area-oriented erase mode,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x51,WriteConfigRX,WriteConfig_RX,8 setup; variable data phase,start_be32 || end_be32; then raw configuration chunks under command 0x51,0 per ACK,status-only acknowledgements,Task_Write_RV40F::_WriteConfig_RV40F2,RV40F2/RX-style configuration path,setup ACK then data-frame validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x52,ReadConfigRX,ReadConfig_RX,8 setup,start_be32 || end_be32,variable data phase,0x81 data frames carrying command 0x52,Task_Read_RV40F::_ReadConfig_RV40F2; Task_ReadVerify_RV40F,RV40F2/RX-style configuration path,setup ACK then data-frame validation/copy,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x53,GetAreaNum,GetAreaNum,0,none,1,area_count,Task_SetupBaudrate_RV40F2,RV40F2 connection variant,ProcessCommand exact-length response,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x54,GetAreaInfo,GetAreaInfo,1,area_index,17,area_type_u8 || four_be32_area_fields,Task_SetupBaudrate_RV40F2,RV40F2 connection variant; repeated for each area,ProcessCommand exact-length response; four BE32 values decoded,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x56,SetOCDE,SetOCDE,0,none,0,status-only,Task_Write_RV40F::_WriteConfig_RV40F,capability 0x110A and config state require OCD enable,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x57,GetOCDE,GetOCDE,0,none,1,OCD-state byte,UtilityRV40F::ReadOptionMemory_RX64M,capability 0x110A,ProcessCommand; host bool is true when returned byte == 0,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x6E,SetICUSOptionByte,SetICUSOptionByte; SetOptionByteEx,4,ICU-S option bytes[4],0,status-only,Task_WriteOption_RV40F through SetOptionByteEx; exported direct helper has no recovered internal caller,extended option path with capability 0x1109,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x6F,GetICUSOptionByte,GetICUSOptionByte,0,none,4,ICU-S option bytes[4],no recovered libRFP internal caller,exported host capability retained,ProcessCommand exact-length response,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x70,ValidateICU_S,ValidateICU_S,0,none,0,status-only,Task_WriteOption_RV40F::_WriteOptionRH850,high-level ICU-S enable/security notice path and cached validation-needed state,single SendRecvFrame attempt; no internal retry/state mutation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x71,CheckICUMode,CheckICUMode,1,"probe byte 0xFF, conditional fallback 0x00",0,status-only,Task_SetupBaudrate_RV40F,capability 0x1106,probe 0xFF; only E1000010 triggers 0x00 fallback; success maps host mode to 0xFF or 0x00,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x74,SetICUMMain,SetICUM,15,flag(p3) || p8_u32 || p12_u32 || p4_u32 || flag(p2) || flag(p1),0,status-only,SetOptionByteEx fallback in Task_WriteOption_RV40F,legacy fallback when capability 0x1002 == 0 and 0x1109 == 0; 0x1205 yields 20-byte source record,SendRecvFrame packet validation,recovered,pinned libRFP.dylib ARM64 constructor/caller analysis
0x75,SetICUMAuxiliary,SetICUM,4,source_record[16:20] raw u32 bytes,0,status-only,SetOptionByteEx fallback in Task_WriteOption_RV40F,same legacy SetICUM fallback as 0x74,sent before 0x74; SendRecvFrame packet validation,recovered,pinned libRFP.dylib ARM64 constructor/caller analysis
0x78,CheckPassword,CheckPassword,65,selector_u8 || valueA[32] || valueB[32],0,status-only,Task_SetupClock_RV40F,capability 0x1002 path; values sized by 0x1211/0x1212,"SendRecvFrame; selector 1 then optional selector 2, with task-specific warning handling",verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x79,WriteConfig,WriteConfig,20,config_or_address_be32 || data[16],0,status-only,Task_WriteConfig_CCC,CCC configuration write path,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x7A,VerifyConfig,VerifyConfig,20,config_or_address_be32 || data[16],0,status-only,Task_VerifyConfig_CCC,CCC configuration verify path,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
