region,topology_group_key,shape_sha256,component_hex,component_index,ecu_domain,bus_index,bus_name,gateway_names,junction_name
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x74,116,74,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x8E,142,ASC,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0xC6,198,DCM2,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0xC7,199,DCM,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0xFC,252,FC,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x28,40,Brake Booster,32,Bus 4,Central Gateway,No. 7 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x29,41,Skid Control (ABS/VSC/TRAC),32,Bus 4,Central Gateway,No. 8 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x32,50,Power Steering (EPS),32,Bus 4,Central Gateway,EBU
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x47,71,Airbag,32,Bus 4,Central Gateway,No. 7 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x65,101,65,32,Bus 4,Central Gateway,EBU
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0xF0,240,Spiral cable (Steering Angle Sensor),32,Bus 4,Central Gateway,No. 7 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x05,5,Power Management,33,Bus 5,Central Gateway,No. 11 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x40,64,Main Body,33,Bus 5,Central Gateway,No. 11 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x46,70,Air Conditioning Amplifier,33,Bus 5,Central Gateway,No. 11 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0xA8,168,Multiplex Tilt and Telescopic,33,Bus 5,Central Gateway,No. 11 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0xAB,171,D-Seat,33,Bus 5,Central Gateway,No. 18 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0xB5,181,Certification (Smart),33,Bus 5,Central Gateway,No. 11 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0xB8,184,Back Door,33,Bus 5,Central Gateway,No. 18 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x1D,29,HL AutoLeveling/AFS/AHS,34,Bus 6,Central Gateway,No. 22 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x1E,30,HL AutoLeveling/AFS/AHS (Sub),34,Bus 6,Central Gateway,No. 13 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x2A,42,Tire Pressure,34,Bus 6,Central Gateway,No. 13 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x66,102,66,34,Bus 6,Central Gateway,No. 13 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0xA5,165,Front Door RH/R-Mirror (FR-Door/R-Mirror),34,Bus 6,Central Gateway,No. 13 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0xA6,166,Front Door LH/L-Mirror (FL-Door/L-Mirror),34,Bus 6,Central Gateway,No. 22 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0xD3,211,Acoustic Vehicle Alerting System,34,Bus 6,Central Gateway,No. 13 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x0C,12,ITS Connect,29,Bus 1,Central Gateway,No. 23 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x0F,15,Front Radar,29,Bus 1,Central Gateway,No. 3 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x10,16,Front Side Radar Master,29,Bus 1,Central Gateway,No. 3 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x41,65,Blind Spot Monitor Master,29,Bus 1,Central Gateway,No. 16 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x67,103,Clearance Warning (Intuitive Parking Assist),29,Bus 1,Central Gateway,No. 16 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x68,104,Parking Assist Monitor System / Rear Camera,29,Bus 1,Central Gateway,No. 20 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x6D,109,Front Camera Module,29,Bus 1,Central Gateway,FRD
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x7B,123,Panoramic View Monitor / Circumference Monitoring Camera Control Module,29,Bus 1,Central Gateway,No. 17 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x09,9,Motor Generator,30,Bus 2,Central Gateway,No. 5 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x0A,10,Rear Motor Generator,30,Bus 2,Central Gateway,No. 6 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x11,17,Plug-in Control,30,Bus 2,Central Gateway,MGC
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x16,22,Hybrid Vehicle Control,30,Bus 2,Central Gateway,No. 5 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x1C,28,Transmission Control,30,Bus 2,Central Gateway,No. 5 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0xD5,213,HV Battery,30,Bus 2,Central Gateway,No. 4 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0xD9,217,DC Quick Charging Control2,30,Bus 2,Central Gateway,MGC
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x61,97,Display and Navigation (AVN),31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x62,98,Combination Meter,31,Bus 3,Central Gateway,No. 25 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x64,100,64,31,Bus 3,Central Gateway,No. 25 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x6B,107,Digital Rear-View Mirror,31,Bus 3,Central Gateway,No. 25 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x74,116,74,31,Bus 3,Central Gateway,No. 25 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x8E,142,ASC,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0xC6,198,DCM2,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0xC7,199,DCM,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0xFC,252,FC,31,Bus 3,Central Gateway,No. 25 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x28,40,Brake Booster,32,Bus 4,Central Gateway,No. 7 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x29,41,Skid Control (ABS/VSC/TRAC),32,Bus 4,Central Gateway,No. 8 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x32,50,Power Steering (EPS),32,Bus 4,Central Gateway,EBU
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x47,71,Airbag,32,Bus 4,Central Gateway,No. 7 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x65,101,65,32,Bus 4,Central Gateway,EBU
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0xF0,240,Spiral cable (Steering Angle Sensor),32,Bus 4,Central Gateway,No. 7 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x05,5,Power Management,33,Bus 5,Central Gateway,No. 11 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x40,64,Main Body,33,Bus 5,Central Gateway,No. 11 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x46,70,Air Conditioning Amplifier,33,Bus 5,Central Gateway,No. 11 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0xA8,168,Multiplex Tilt and Telescopic,33,Bus 5,Central Gateway,No. 11 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0xAB,171,D-Seat,33,Bus 5,Central Gateway,No. 18 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0xB5,181,Certification (Smart),33,Bus 5,Central Gateway,No. 11 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0xB8,184,Back Door,33,Bus 5,Central Gateway,No. 18 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x1D,29,HL AutoLeveling/AFS/AHS,34,Bus 6,Central Gateway,No. 22 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x1E,30,HL AutoLeveling/AFS/AHS (Sub),34,Bus 6,Central Gateway,No. 13 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x2A,42,Tire Pressure,34,Bus 6,Central Gateway,No. 13 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0x66,102,66,34,Bus 6,Central Gateway,No. 13 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0xA5,165,Front Door RH/R-Mirror (FR-Door/R-Mirror),34,Bus 6,Central Gateway,No. 13 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0xA6,166,Front Door LH/L-Mirror (FL-Door/L-Mirror),34,Bus 6,Central Gateway,No. 22 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0xD3,211,Acoustic Vehicle Alerting System,34,Bus 6,Central Gateway,No. 13 Global CAN Junction Connector
NA,0x004DD292,6ba742cc89334dc7710a10b690d993c6fb6c4e26f2c9519e083b87a5d46ab078,0xD4,212,Sub Battery System,34,Bus 6,Central Gateway,No. 13 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x0F,15,Front Radar,29,Bus 1,Central Gateway,No. 17 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x41,65,Blind Spot Monitor Master,29,Bus 1,Central Gateway,No. 16 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x67,103,Clearance Warning (Intuitive Parking Assist),29,Bus 1,Central Gateway,No. 15 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x68,104,Parking Assist Monitor System / Rear Camera,29,Bus 1,Central Gateway,No. 20 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x6D,109,Front Camera Module,29,Bus 1,Central Gateway,FRD
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x7B,123,Panoramic View Monitor / Circumference Monitoring Camera Control Module,29,Bus 1,Central Gateway,No. 17 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x09,9,Motor Generator,30,Bus 2,Central Gateway,No. 5 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x0A,10,Rear Motor Generator,30,Bus 2,Central Gateway,No. 6 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x11,17,Plug-in Control,30,Bus 2,Central Gateway,MGC
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x14,20,Solar Charging Control,30,Bus 2,Central Gateway,No. 14 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x16,22,Hybrid Vehicle Control,30,Bus 2,Central Gateway,No. 5 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x1C,28,Transmission Control,30,Bus 2,Central Gateway,No. 5 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0xD5,213,HV Battery,30,Bus 2,Central Gateway,No. 4 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0xD9,217,DC Quick Charging Control2,30,Bus 2,Central Gateway,MGC
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x61,97,Display and Navigation (AVN),31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x62,98,Combination Meter,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x6B,107,Digital Rear-View Mirror,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x74,116,74,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0xC6,198,DCM2,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0xC7,199,DCM,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x28,40,Brake Booster,32,Bus 4,Central Gateway,No. 7 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x29,41,Skid Control (ABS/VSC/TRAC),32,Bus 4,Central Gateway,No. 8 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x32,50,Power Steering (EPS),32,Bus 4,Central Gateway,EBU
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x47,71,Airbag,32,Bus 4,Central Gateway,No. 7 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0xF0,240,Spiral cable (Steering Angle Sensor),32,Bus 4,Central Gateway,No. 7 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x05,5,Power Management,33,Bus 5,Central Gateway,No. 12 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x1D,29,HL AutoLeveling/AFS/AHS,33,Bus 5,Central Gateway,No. 1 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x1E,30,HL AutoLeveling/AFS/AHS (Sub),33,Bus 5,Central Gateway,No. 2 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x40,64,Main Body,33,Bus 5,Central Gateway,No. 11 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x46,70,Air Conditioning Amplifier,33,Bus 5,Central Gateway,No. 12 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0xA5,165,Front Door RH/R-Mirror (FR-Door/R-Mirror),33,Bus 5,Central Gateway,No. 12 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0xA6,166,Front Door LH/L-Mirror (FL-Door/L-Mirror),33,Bus 5,Central Gateway,No. 11 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0xAB,171,D-Seat,33,Bus 5,Central Gateway,No. 18 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0xB5,181,Certification (Smart),33,Bus 5,Central Gateway,No. 12 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0xB8,184,Back Door,33,Bus 5,Central Gateway,No. 21 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0x2A,42,Tire Pressure,34,Bus 6,Central Gateway,No. 13 Global CAN Junction Connector
NA,0x004DD222,0adcbf50a44b012005f6bae68fab5c85e7551594027ccd183c0cec3a9d811608,0xD3,211,Acoustic Vehicle Alerting System,34,Bus 6,Central Gateway,No. 9 Global CAN Junction Connector
NA,0x004DD24B,20229143154e3bfca9c5a3bf12294d316096085d8d813855ae11c743bb2b16df,0x0F,15,Front Radar,29,Bus 1,Central Gateway,No. 3 Global CAN Junction Connector
NA,0x004DD24B,20229143154e3bfca9c5a3bf12294d316096085d8d813855ae11c743bb2b16df,0x10,16,Front Side Radar Master,29,Bus 1,Central Gateway,No. 3 Global CAN Junction Connector
NA,0x004DD24B,20229143154e3bfca9c5a3bf12294d316096085d8d813855ae11c743bb2b16df,0x41,65,Blind Spot Monitor Master,29,Bus 1,Central Gateway,No. 16 Global CAN Junction Connector
NA,0x004DD24B,20229143154e3bfca9c5a3bf12294d316096085d8d813855ae11c743bb2b16df,0x67,103,Clearance Warning (Intuitive Parking Assist),29,Bus 1,Central Gateway,No. 15 Global CAN Junction Connector
NA,0x004DD24B,20229143154e3bfca9c5a3bf12294d316096085d8d813855ae11c743bb2b16df,0x68,104,Parking Assist Monitor System / Rear Camera,29,Bus 1,Central Gateway,No. 20 Global CAN Junction Connector
NA,0x004DD24B,20229143154e3bfca9c5a3bf12294d316096085d8d813855ae11c743bb2b16df,0x6D,109,Front Camera Module,29,Bus 1,Central Gateway,FRD
NA,0x004DD24B,20229143154e3bfca9c5a3bf12294d316096085d8d813855ae11c743bb2b16df,0x7B,123,Panoramic View Monitor / Circumference Monitoring Camera Control Module,29,Bus 1,Central Gateway,No. 17 Global CAN Junction Connector
NA,0x004DD24B,20229143154e3bfca9c5a3bf12294d316096085d8d813855ae11c743bb2b16df,0x09,9,Motor Generator,30,Bus 2,Central Gateway,No. 5 Global CAN Junction Connector
NA,0x004DD24B,20229143154e3bfca9c5a3bf12294d316096085d8d813855ae11c743bb2b16df,0x0A,10,Rear Motor Generator,30,Bus 2,Central Gateway,No. 6 Global CAN Junction Connector
NA,0x004DD24B,20229143154e3bfca9c5a3bf12294d316096085d8d813855ae11c743bb2b16df,0x11,17,Plug-in Control,30,Bus 2,Central Gateway,MGC
NA,0x004DD24B,20229143154e3bfca9c5a3bf12294d316096085d8d813855ae11c743bb2b16df,0x14,20,Solar Charging Control,30,Bus 2,Central Gateway,No. 14 Global CAN Junction Connector
NA,0x004DD24B,20229143154e3bfca9c5a3bf12294d316096085d8d813855ae11c743bb2b16df,0x16,22,Hybrid Vehicle Control,30,Bus 2,Central Gateway,No. 5 Global CAN Junction Connector
