row_kind,class_state,state_code_reference_rvas,predecessor,successor,class_operations,request_length,response_length,source_field,destination_field,interpretation,evidence_grade
state,CMAC_01_000/S324-00,0x23d510|0x23e0c0,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 1:security_access_seed_update/2:read_safekey_and_mac/4:upload_after_send_key/5:upload_ecu_list/6:change_default_session,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-00,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_000_S/S324-15,0x23dfc0|0x243670,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,none,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-15,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_000A/S324-00A,0x23e6b0,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 1:security_access_seed_update/2:read_safekey_and_mac,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-00A,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_001A/S324-01A,0x23e980,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 1:security_access_seed_update/2:read_safekey_and_mac/4:upload_after_send_key,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-01A,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_001A/S324-08,0x23ed20|0x23f490|0x241650,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 1:security_access_seed_update/2:read_safekey_and_mac/4:upload_after_send_key,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-08,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_001B/S324-01B,0x23ef10,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 2:read_safekey_and_mac/3:upload_after_get_seed/4:upload_after_send_key,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-01B,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_001C/S324-01C,0x23f6a0|0x240f80,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 0:update_vehicle_status/1:security_access_seed_update/2:read_safekey_and_mac/3:upload_after_get_seed/4:upload_after_send_key/5:upload_ecu_list/6:change_default_session,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-01C,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_001C/S324-41,0x23f900,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 0:update_vehicle_status/1:security_access_seed_update/2:read_safekey_and_mac/3:upload_after_get_seed/4:upload_after_send_key/5:upload_ecu_list/6:change_default_session,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-41,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_001C/S324-42,0x240db0,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 0:update_vehicle_status/1:security_access_seed_update/2:read_safekey_and_mac/3:upload_after_get_seed/4:upload_after_send_key/5:upload_ecu_list/6:change_default_session,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-42,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_001C_S/S324-01C,0x23f6a0|0x240f80,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,none,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-01C,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_001D/S324-01D,0x2410b0,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 1:security_access_seed_update/2:read_safekey_and_mac/3:upload_after_get_seed/4:upload_after_send_key,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-01D,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_001D/S324-19,0x241650,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 1:security_access_seed_update/2:read_safekey_and_mac/3:upload_after_get_seed/4:upload_after_send_key,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-19,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_001E/S324-01E,0x241870,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 1:security_access_seed_update/2:read_safekey_and_mac/4:upload_after_send_key,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-01E,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_001E/S324-07,0x241ed0|0x2443c0,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 1:security_access_seed_update/2:read_safekey_and_mac/4:upload_after_send_key,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-07,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_001F/S324-01F,0x2420c0|0x242160,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,none,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-01F,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_001F_S/S324-01F,0x2420c0|0x242160,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,none,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-01F,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_009A/S324-09A,0x242240|0x2428c0,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 4:upload_after_send_key/5:upload_ecu_list/6:change_default_session,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-09A,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_009A_S/S324-09A,0x242240|0x2428c0,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,none,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-09A,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_009B/S324-09B,0x242bb0|0x243370,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 1:security_access_seed_update/2:read_safekey_and_mac/4:upload_after_send_key/6:change_default_session,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-09B,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_009B_S/S324-09B,0x242bb0|0x243370,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,none,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-09B,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_015/S324-15,0x23dfc0|0x243670,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,Ex2MAC_01_ComProcess 7:read_safekey_variant,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-15,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_017/S324-17,0x243a90,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,none,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-17,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_025_S/S324-25,0x243b60,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,none,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-25,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_028_S/S324-28,0x244080,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,none,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-28,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_031_S/S324-31,0x244f60,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,none,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-31,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_036_S/S324-36,0x244ff0,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,none,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-36,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_038_S/S324-38,0x245260,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,none,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-38,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
state,CMAC_01_039_S/S324-39,0x245370,caller-selected class entry/branch,handler-specific success/failure; cross-class edge caller-selected,none,,,CMAC_01 class-local procedure/display state,displayed procedure code S324-39,procedure/UI label; reference RVAs are all native functions that reference this code and do not imply operation ownership,bounded
vehicle_command,read VIN,see protocol JSON,vehicle connection/session,positive response or error branch,UDS ReadDataByIdentifier: 22 f1 90,3,>=20,ECU 0x763,VIN[17],read VIN,recovered
vehicle_command,read MAC tuple,see protocol JSON,vehicle connection/session,positive response or error branch,UDS ReadDataByIdentifier: 22 10 2e,3,>=67,ECU 0x763,MACM1[16] || MACM2[32] || MACM3[16],read MAC tuple,recovered
vehicle_command,read SafekeyNumber,see protocol JSON,vehicle connection/session,positive response or error branch,UDS ReadDataByIdentifier: 22 10 10,3,>=19,master/slave ECU,SafekeyNumber[16],read SafekeyNumber,recovered
vehicle_command,request seed,see protocol JSON,vehicle connection/session,positive response or error branch,UDS SecurityAccess: 27 41,2,18,selected ECU,seed[16],request seed,recovered
vehicle_command,send key,see protocol JSON,vehicle connection/session,positive response or error branch,UDS SecurityAccess: 27 42 || key[16],18,>=2,derived key[16],selected ECU,send key,recovered
vehicle_command,write ECU topology,see protocol JSON,vehicle connection/session,positive response or error branch,UDS WriteDataByIdentifier: 2e 10 35 || topology[25],28,>=3,discovered ECU map,ECU 0x763,write ECU topology,recovered
vehicle_command,start key update,see protocol JSON,vehicle connection/session,positive response or error branch,UDS RoutineControl start: 31 01 30 02 || M1[16] || M2[32] || M3[16],68,>=4,server exchange record,each selected ECU,start key update,recovered
vehicle_command,poll key update,see protocol JSON,vehicle connection/session,positive response or error branch,UDS RoutineControl results: 31 03 30 02,4,>=6; >=54 when complete,each selected ECU,"state[2], M4[32], M5[16]",poll key update,recovered
vehicle_command,read ECU topology,see protocol JSON,vehicle connection/session,positive response or error branch,UDS ReadDataByIdentifier: 22 10 33,3,>=28,ECU 0x763,topology[25],read ECU topology,recovered
