entry_addr,function_bytes,caller_count,callee_count,indirect_reference_count,ram_ref_count,ram_read_ref_count,ram_write_ref_count,mmio_ref_count,codeflash_data_ref_count,string_ref_count,root_kind,review_state,score_size_norm,score_callers_norm,score_callees_norm,score_indirect_norm,score_ram_norm,score_ram_rw_density_norm,score_mmio_norm,score_codeflash_data_norm,score_strings_norm,score_unreviewed_norm,final_score,rank,scalar_top_n,strata,selected_for_sweep,selection_date,review_date,review_result
0x00001338,66,1,12,0,2,0,2,0,0,0,,unreviewed,0.444255,0.155611,0.437222,0.000000,0.136890,0.082692,0.000000,0.000000,0.000000,1.000000,0.218337,1751,false,,false,,,
0x0000137a,30,1,4,0,1,0,1,0,0,0,,unreviewed,0.362825,0.155611,0.274345,0.000000,0.086368,0.090827,0.000000,0.000000,0.000000,1.000000,0.181295,3216,false,,false,,,
0x00001398,24,2,3,0,0,0,0,0,0,0,,unreviewed,0.340097,0.246638,0.236308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.159512,4240,false,,false,,,
0x000013b0,84,1,8,0,3,0,3,0,1,0,,unreviewed,0.469397,0.155611,0.374540,0.000000,0.172736,0.097202,0.000000,0.164272,0.000000,1.000000,0.233210,1238,false,,false,,,
0x00001404,116,1,8,0,2,0,2,0,0,0,,unreviewed,0.503157,0.155611,0.374540,0.000000,0.136890,0.047351,0.000000,0.000000,0.000000,1.000000,0.218430,1748,false,,false,,,
0x00001478,22,2,0,0,0,0,0,0,0,0,,unreviewed,0.331287,0.246638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.134295,5205,false,,false,,,
0x0000148e,20,1,2,0,1,0,0,0,0,0,,unreviewed,0.321675,0.155611,0.187270,0.000000,0.086368,0.000000,0.000000,0.000000,0.000000,1.000000,0.154281,4444,false,,false,,,
0x000014a2,28,1,3,0,1,1,0,0,0,0,,unreviewed,0.355778,0.155611,0.236308,0.000000,0.086368,0.097202,0.000000,0.000000,0.000000,1.000000,0.176988,3402,false,,false,,,
0x000014be,42,1,2,0,1,1,1,0,0,0,,unreviewed,0.397397,0.155611,0.187270,0.000000,0.086368,0.128860,0.000000,0.000000,0.000000,1.000000,0.183374,3126,false,,false,,,
0x00001514,22,3,1,0,1,0,0,0,0,0,,unreviewed,0.331287,0.311223,0.118154,0.000000,0.086368,0.000000,0.000000,0.000000,0.000000,1.000000,0.164661,4008,false,,false,,,
0x0000152a,16,2,2,0,0,0,0,0,0,0,,unreviewed,0.299349,0.246638,0.187270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.147274,4678,false,,false,,,
0x0000153a,22,1,0,0,0,0,0,0,0,0,,unreviewed,0.331287,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.125193,5498,false,,false,,,
0x00001550,8,1,0,0,1,0,1,0,0,0,,unreviewed,0.232152,0.155611,0.000000,0.000000,0.086368,0.326257,0.000000,0.000000,0.000000,1.000000,0.158591,4281,false,,false,,,
0x00001560,62,1,0,0,0,0,0,2,0,0,,unreviewed,0.437751,0.155611,0.000000,0.000000,0.000000,0.000000,0.200150,0.000000,0.000000,1.000000,0.160368,4196,false,,false,,,
0x0000159e,22,3,3,0,0,0,0,0,0,0,,unreviewed,0.331287,0.311223,0.236308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.164385,4029,false,,false,,,
0x000015b4,12,1,0,0,0,0,0,0,0,0,,unreviewed,0.271005,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.114342,5618,false,,false,,,
0x000015c0,102,2,0,0,0,0,0,0,0,0,,unreviewed,0.489691,0.246638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.162808,4120,false,,false,,,
0x00001626,86,1,0,0,0,0,0,0,1,0,,unreviewed,0.471854,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.164272,0.000000,1.000000,0.160351,4197,false,,false,,,
0x0000167c,32,2,2,0,0,0,0,0,0,0,,unreviewed,0.369430,0.246638,0.187270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.159888,4215,false,,false,,,
0x0000169c,86,1,0,0,0,0,0,0,2,0,,unreviewed,0.471854,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.260365,0.000000,1.000000,0.166117,3877,false,,false,,,
0x000016f2,214,1,5,0,0,0,0,0,6,0,,unreviewed,0.567445,0.155611,0.305424,0.000000,0.000000,0.000000,0.000000,0.461170,0.000000,1.000000,0.225914,1516,false,,false,,,
0x000017c8,1014,1,0,0,0,0,0,239,2,0,,reviewed_unknown,0.731425,0.155611,0.000000,0.000000,0.000000,0.000000,0.998488,0.260365,0.000000,1.000000,0.292719,162,false,boot;mandatory-graph-reaudit,true,2026-08-11,2026-08-11,Selected rank 162 (boot); decompiled successfully; exact semantics not independently established
0x00001bbe,98,2,2,0,0,0,0,4,0,0,,unreviewed,0.485506,0.246638,0.187270,0.000000,0.000000,0.000000,0.293215,0.000000,0.000000,1.000000,0.204239,2282,false,,false,,,
0x00001c20,64,1,0,0,0,0,0,0,2,0,,unreviewed,0.441053,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.260365,0.000000,1.000000,0.160573,4176,false,,false,,,
0x00001c60,64,1,0,0,0,0,0,0,1,0,,unreviewed,0.441053,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.164272,0.000000,1.000000,0.154807,4433,false,,false,,,
0x00001ca0,72,1,2,0,0,0,0,2,0,0,,unreviewed,0.453317,0.155611,0.187270,0.000000,0.000000,0.000000,0.200150,0.000000,0.000000,1.000000,0.181897,3184,false,,false,,,
0x00001ce8,12,1,1,0,0,0,0,0,0,0,,unreviewed,0.271005,0.155611,0.118154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.126157,5403,false,,false,,,
0x00001d0e,6,2,0,0,0,0,0,0,0,0,,unreviewed,0.205599,0.246638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.111672,5662,false,,false,,,
0x00001d24,8,13,0,0,0,0,0,0,0,0,,unreviewed,0.232152,0.592468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.151034,4581,false,,false,,,
0x00001d2c,42,1,2,0,1,0,0,0,0,0,,unreviewed,0.397397,0.155611,0.187270,0.000000,0.086368,0.000000,0.000000,0.000000,0.000000,1.000000,0.167911,3809,false,,false,,,
0x00001d58,24,0,1,0,0,0,0,0,0,0,interrupt,reviewed_unknown,0.340097,0.000000,0.118154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.123033,5521,false,isr-rooted,true,2026-08-11,2026-08-11,Selected rank 5232 (isr-rooted); decompiled successfully; exact semantics not independently established
0x00001d70,14,7,0,0,1,0,0,0,0,0,,unreviewed,0.286124,0.466834,0.000000,0.000000,0.086368,0.000000,0.000000,0.000000,0.000000,1.000000,0.160277,4198,false,,false,,,
0x00001d9a,106,1,4,0,4,4,1,0,4,0,,unreviewed,0.493717,0.155611,0.274345,0.000000,0.200540,0.127671,0.000000,0.381428,0.000000,1.000000,0.248147,790,false,,false,,,
0x00001e04,12,1,1,0,0,0,0,0,0,0,,unreviewed,0.271005,0.155611,0.118154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.126157,5404,false,,false,,,
0x00001e10,14,2,1,0,0,0,0,0,0,0,,unreviewed,0.286124,0.246638,0.118154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.137982,5089,false,,false,,,
0x00001e1e,8,0,1,1,0,0,0,0,0,0,interrupt,reviewed_unknown,0.232152,0.000000,0.118154,0.117002,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.119983,5542,false,isr-rooted,true,2026-08-11,2026-08-11,Selected rank 5253 (isr-rooted); decompiled successfully; exact semantics not independently established
0x00001e2a,12,0,1,0,0,0,0,0,0,0,interrupt,reviewed_unknown,0.271005,0.000000,0.118154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.110596,5667,false,isr-rooted,true,2026-08-11,2026-08-11,Selected rank 5372 (isr-rooted); decompiled successfully; exact semantics not independently established
0x00001e36,14,0,1,0,0,0,0,0,0,0,interrupt,reviewed_unknown,0.286124,0.000000,0.118154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.113318,5626,false,isr-rooted,true,2026-08-11,2026-08-11,Selected rank 5331 (isr-rooted); decompiled successfully; exact semantics not independently established
0x00001e44,12,0,1,1,0,0,0,0,0,0,interrupt,reviewed_unknown,0.271005,0.000000,0.118154,0.117002,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.126976,5382,false,isr-rooted,true,2026-08-11,2026-08-11,Selected rank 5094 (isr-rooted); decompiled successfully; exact semantics not independently established
0x00001e50,14,0,1,1,0,0,0,0,0,0,interrupt,reviewed_unknown,0.286124,0.000000,0.118154,0.117002,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.129698,5293,false,isr-rooted,true,2026-08-11,2026-08-11,Selected rank 5007 (isr-rooted); decompiled successfully; exact semantics not independently established
0x00001e5e,14,0,1,1,0,0,0,0,0,0,interrupt,reviewed_unknown,0.286124,0.000000,0.118154,0.117002,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.129698,5294,false,isr-rooted,true,2026-08-11,2026-08-11,Selected rank 5008 (isr-rooted); decompiled successfully; exact semantics not independently established
0x00001e6c,14,0,1,1,0,0,0,0,0,0,interrupt,reviewed_unknown,0.286124,0.000000,0.118154,0.117002,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.129698,5295,false,isr-rooted,true,2026-08-11,2026-08-11,Selected rank 5009 (isr-rooted); decompiled successfully; exact semantics not independently established
0x00001e7a,14,0,1,1,0,0,0,0,0,0,interrupt,reviewed_unknown,0.286124,0.000000,0.118154,0.117002,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.129698,5296,false,isr-rooted,true,2026-08-11,2026-08-11,Selected rank 5010 (isr-rooted); decompiled successfully; exact semantics not independently established
0x00001e88,14,0,1,1,0,0,0,0,0,0,interrupt,reviewed_unknown,0.286124,0.000000,0.118154,0.117002,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.129698,5297,false,isr-rooted,true,2026-08-11,2026-08-11,Selected rank 5011 (isr-rooted); decompiled successfully; exact semantics not independently established
0x00001e96,14,0,1,1,0,0,0,0,0,0,interrupt,reviewed_unknown,0.286124,0.000000,0.118154,0.117002,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.129698,5298,false,isr-rooted,true,2026-08-11,2026-08-11,Selected rank 5012 (isr-rooted); decompiled successfully; exact semantics not independently established
0x00001ea4,14,0,1,1,0,0,0,0,0,0,interrupt,reviewed_unknown,0.286124,0.000000,0.118154,0.117002,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.129698,5299,false,isr-rooted,true,2026-08-11,2026-08-11,Selected rank 5013 (isr-rooted); decompiled successfully; exact semantics not independently established
0x00001ec0,30,6,1,0,0,0,0,0,0,0,,unreviewed,0.362825,0.436856,0.118154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.170809,3710,false,,false,,,
0x00001ede,16,3,1,0,0,0,0,0,0,0,,unreviewed,0.299349,0.311223,0.118154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.146820,4738,false,,false,,,
0x00001eee,30,0,1,0,0,0,0,0,0,0,,unreviewed,0.362825,0.000000,0.118154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.127124,5381,false,,false,,,
0x00001f0c,24,0,1,0,0,0,0,0,0,0,,unreviewed,0.340097,0.000000,0.118154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.123033,5522,false,,false,,,
0x00001f24,50,1,0,0,11,0,11,0,0,0,,unreviewed,0.415425,0.155611,0.000000,0.000000,0.309626,0.550813,0.000000,0.000000,0.000000,1.000000,0.249783,750,false,,false,,,
0x00001f60,56,14,1,0,1,0,0,0,1,0,,unreviewed,0.427176,0.607957,0.118154,0.000000,0.086368,0.000000,0.000000,0.164272,0.000000,1.000000,0.221451,1643,false,,false,,,
0x00001f98,174,2,3,0,3,0,3,0,10,0,,unreviewed,0.545695,0.246638,0.236308,0.000000,0.172736,0.047351,0.000000,0.568288,0.000000,1.000000,0.260482,520,false,,false,,,
0x00002046,158,2,4,0,3,2,1,0,4,0,,unreviewed,0.535565,0.246638,0.274345,0.000000,0.172736,0.052101,0.000000,0.381428,0.000000,1.000000,0.251821,704,false,,false,,,
0x000020e4,222,3,4,0,4,3,4,0,6,0,,unreviewed,0.571305,0.311223,0.274345,0.000000,0.200540,0.085993,0.000000,0.461170,0.000000,1.000000,0.277457,284,false,,false,,,
0x000021c2,142,1,4,0,3,3,1,0,2,0,,unreviewed,0.524359,0.155611,0.274345,0.000000,0.172736,0.076949,0.000000,0.260365,0.000000,1.000000,0.236419,1160,false,,false,,,
0x00002250,52,1,2,0,2,2,0,0,0,0,,unreviewed,0.419489,0.155611,0.187270,0.000000,0.136890,0.104540,0.000000,0.000000,0.000000,1.000000,0.191505,2758,false,,false,,,
0x00002284,70,1,0,0,0,0,0,0,3,0,,unreviewed,0.450382,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.328544,0.000000,1.000000,0.166342,3869,false,,false,,,
0x000022ca,134,2,3,0,2,2,1,0,6,0,,unreviewed,0.518276,0.246638,0.236308,0.000000,0.136890,0.061330,0.000000,0.461170,0.000000,1.000000,0.245779,846,false,,false,,,
0x00002350,104,2,3,0,2,2,1,0,5,0,,unreviewed,0.491723,0.246638,0.236308,0.000000,0.136890,0.078773,0.000000,0.424637,0.000000,1.000000,0.240900,1009,false,,false,,,
0x000023b8,114,1,3,0,1,0,1,0,2,0,,unreviewed,0.501335,0.155611,0.236308,0.000000,0.086368,0.024192,0.000000,0.260365,0.000000,1.000000,0.210049,2081,false,,false,,,
0x0000242a,166,1,3,0,1,1,0,0,2,0,,unreviewed,0.540751,0.155611,0.236308,0.000000,0.086368,0.016637,0.000000,0.260365,0.000000,1.000000,0.216237,1837,false,,false,,,
0x000024d0,196,2,3,0,2,1,2,0,11,0,,unreviewed,0.558207,0.246638,0.236308,0.000000,0.136890,0.042076,0.000000,0.588909,0.000000,1.000000,0.258320,560,false,,false,,,
0x00002594,162,3,5,0,2,1,1,0,4,0,,unreviewed,0.538190,0.311223,0.305424,0.000000,0.136890,0.033988,0.000000,0.381428,0.000000,1.000000,0.254668,633,false,,false,,,
0x00002636,156,2,2,0,1,0,1,0,9,0,,unreviewed,0.534227,0.246638,0.187270,0.000000,0.086368,0.017700,0.000000,0.545700,0.000000,1.000000,0.236509,1155,false,,false,,,
0x000026d2,262,1,6,0,6,0,6,0,5,0,,unreviewed,0.588737,0.155611,0.331700,0.000000,0.242465,0.062719,0.000000,0.424637,0.000000,1.000000,0.271653,344,false,,false,,,
0x000027d8,176,1,3,0,1,1,0,0,3,0,,unreviewed,0.546896,0.155611,0.236308,0.000000,0.086368,0.015694,0.000000,0.328544,0.000000,1.000000,0.221321,1650,false,,false,,,
0x00002888,190,1,4,0,4,3,4,0,6,0,,unreviewed,0.554939,0.155611,0.274345,0.000000,0.200540,0.100217,0.000000,0.461170,0.000000,1.000000,0.260657,515,false,,false,,,
0x00002946,158,1,3,0,4,4,1,0,5,0,,unreviewed,0.535565,0.155611,0.236308,0.000000,0.200540,0.086299,0.000000,0.424637,0.000000,1.000000,0.249503,757,false,,false,,,
0x000029e4,46,1,0,0,3,1,2,0,0,0,,unreviewed,0.406795,0.155611,0.000000,0.000000,0.172736,0.175004,0.000000,0.000000,0.000000,1.000000,0.183968,3099,false,,false,,,
0x00002a12,184,2,4,0,2,1,1,0,2,0,,unreviewed,0.551567,0.246638,0.274345,0.000000,0.136890,0.029946,0.000000,0.260365,0.000000,1.000000,0.239760,1044,false,,false,,,
0x00002aca,26,1,1,0,2,1,1,0,1,0,,unreviewed,0.348228,0.155611,0.118154,0.000000,0.136890,0.205278,0.000000,0.164272,0.000000,1.000000,0.193712,2675,false,,false,,,
0x00002ae4,166,1,5,0,2,2,1,0,5,0,,unreviewed,0.540751,0.155611,0.305424,0.000000,0.136890,0.049613,0.000000,0.424637,0.000000,1.000000,0.244035,886,false,,false,,,
0x00002b8a,140,1,5,0,1,1,0,0,1,0,,unreviewed,0.522871,0.155611,0.305424,0.000000,0.086368,0.019715,0.000000,0.164272,0.000000,1.000000,0.214534,1903,false,,false,,,
0x00002c16,190,1,3,0,4,0,4,0,5,0,,unreviewed,0.554939,0.155611,0.236308,0.000000,0.200540,0.057710,0.000000,0.424637,0.000000,1.000000,0.249560,756,false,,false,,,
0x00002cd4,180,1,3,0,2,0,2,0,6,0,,unreviewed,0.549257,0.155611,0.236308,0.000000,0.136890,0.030608,0.000000,0.461170,0.000000,1.000000,0.238566,1075,false,,false,,,
0x00002d88,170,2,2,0,2,1,0,0,2,0,,unreviewed,0.543252,0.246638,0.187270,0.000000,0.136890,0.016246,0.000000,0.260365,0.000000,1.000000,0.227912,1455,false,,false,,,
0x00002e32,84,1,0,0,2,2,0,0,3,0,,unreviewed,0.469397,0.155611,0.000000,0.000000,0.136890,0.065179,0.000000,0.328544,0.000000,1.000000,0.196751,2560,false,,false,,,
0x00002e86,70,1,2,0,2,1,1,0,2,0,,unreviewed,0.450382,0.155611,0.187270,0.000000,0.136890,0.078033,0.000000,0.260365,0.000000,1.000000,0.209507,2113,false,,false,,,
0x00002ecc,80,1,3,0,6,5,1,0,1,0,,unreviewed,0.464304,0.155611,0.236308,0.000000,0.242465,0.200327,0.000000,0.164272,0.000000,1.000000,0.240607,1016,false,,false,,,
0x00002f1c,156,1,6,0,3,3,1,0,3,0,,unreviewed,0.534227,0.155611,0.331700,0.000000,0.172736,0.070130,0.000000,0.328544,0.000000,1.000000,0.247203,816,false,,false,,,
0x00002fb8,72,1,3,0,2,2,1,0,0,0,,unreviewed,0.453317,0.155611,0.236308,0.000000,0.136890,0.113076,0.000000,0.000000,0.000000,1.000000,0.203523,2311,false,,false,,,
0x00003000,210,1,4,7,2,2,1,0,3,0,,reviewed_unknown,0.565461,0.155611,0.274345,0.351005,0.136890,0.039291,0.000000,0.328544,0.000000,1.000000,0.287511,201,false,indirect-callback,true,2026-08-11,2026-08-11,Selected rank 201 (indirect-callback); decompiled successfully; exact semantics not independently established
0x000030d2,82,0,2,3,3,1,0,0,2,0,,unreviewed,0.466881,0.000000,0.187270,0.234003,0.172736,0.033576,0.000000,0.260365,0.000000,1.000000,0.229360,1380,false,,false,,,
0x000032d2,70,3,0,0,0,0,0,0,8,0,,unreviewed,0.450382,0.311223,0.000000,0.000000,0.000000,0.000000,0.000000,0.520730,0.000000,1.000000,0.193435,2691,false,,false,,,
0x00003318,70,1,0,0,0,0,0,0,8,0,,unreviewed,0.450382,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.520730,0.000000,1.000000,0.177874,3374,false,,false,,,
0x0000335e,52,1,0,0,0,0,0,0,2,0,,unreviewed,0.419489,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.260365,0.000000,1.000000,0.156691,4333,false,,false,,,
0x00003392,58,1,0,0,0,0,0,0,4,0,,unreviewed,0.430820,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.381428,0.000000,1.000000,0.165994,3885,false,,false,,,
0x000033cc,54,1,0,0,0,0,0,0,4,0,,unreviewed,0.423403,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.381428,0.000000,1.000000,0.164659,4009,false,,false,,,
0x00003402,54,1,0,0,0,0,0,0,4,0,,unreviewed,0.423403,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.381428,0.000000,1.000000,0.164659,4010,false,,false,,,
0x00003438,20,1,0,0,0,0,0,0,1,0,,unreviewed,0.321675,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.164272,0.000000,1.000000,0.133319,5238,false,,false,,,
0x0000344c,20,1,0,0,0,0,0,0,1,0,,unreviewed,0.321675,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.164272,0.000000,1.000000,0.133319,5239,false,,false,,,
0x00003460,20,3,0,0,0,0,0,0,0,0,,unreviewed,0.321675,0.311223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.139024,5042,false,,false,,,
0x00003474,52,1,0,0,0,0,0,0,4,0,,unreviewed,0.419489,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.381428,0.000000,1.000000,0.163955,4068,false,,false,,,
0x000034a8,50,3,0,0,0,0,0,0,4,0,,unreviewed,0.415425,0.311223,0.000000,0.000000,0.000000,0.000000,0.000000,0.381428,0.000000,1.000000,0.178784,3347,false,,false,,,
0x000034da,44,1,0,0,2,2,0,0,3,0,,unreviewed,0.402200,0.155611,0.000000,0.000000,0.136890,0.123131,0.000000,0.328544,0.000000,1.000000,0.191610,2753,false,,false,,,
0x00003506,76,1,2,0,2,0,2,0,3,0,,unreviewed,0.458953,0.155611,0.187270,0.000000,0.136890,0.071952,0.000000,0.328544,0.000000,1.000000,0.214411,1906,false,,false,,,
0x00003552,16,1,0,0,1,0,0,0,1,0,,unreviewed,0.299349,0.155611,0.000000,0.000000,0.086368,0.000000,0.000000,0.164272,0.000000,1.000000,0.141392,5003,false,,false,,,
0x00003562,34,1,1,0,0,0,0,0,0,0,,unreviewed,0.375647,0.155611,0.118154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.144993,4790,false,,false,,,
0x00003584,56,1,2,0,0,0,0,0,3,0,,unreviewed,0.427176,0.155611,0.187270,0.000000,0.000000,0.000000,0.000000,0.328544,0.000000,1.000000,0.180893,3233,false,,false,,,
0x000035bc,40,1,1,0,4,0,4,0,0,0,,unreviewed,0.392365,0.155611,0.118154,0.000000,0.200540,0.264007,0.000000,0.000000,0.000000,1.000000,0.207759,2155,false,,false,,,
