surface,selector,declared_response_bytes,producer,producer_writes_declared,criterion,evidence_grade,note
application_rdbi,0x1068,2,0x0004cff0,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1069,2,0x0004d022,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x106A,1,0x0004d0b4,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x106B,2,0x0004d0b8,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x106C,2,0x0004d0b8,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1091,2,0x0004d0ea,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1092,2,0x0004d122,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1093,2,0x0004d15a,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1094,2,0x0004d192,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1095,2,0x0004d1ca,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1096,2,0x0004d1f4,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1097,2,0x0004d21e,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1098,2,0x0004d248,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10C1,2,0x0004d272,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10C2,2,0x0004d2ae,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10C3,2,0x0004d2ea,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10C4,2,0x0004d326,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10C5,2,0x0004d35c,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10C6,2,0x0004d392,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10C7,2,0x0004d3c8,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10C8,2,0x0004d3cc,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10C9,2,0x0004d3d0,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10CA,2,0x0004d3d4,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10F1,2,0x0004d406,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10F2,2,0x0004d442,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10F3,2,0x0004d47e,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10F4,2,0x0004d4ba,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10F5,2,0x0004d4f0,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10F6,2,0x0004d526,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10F7,2,0x0004d55c,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10F8,2,0x0004d560,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10F9,2,0x0004d564,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x10FA,2,0x0004d568,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1100,32,0x0004e9e6,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1121,2,0x0004d59a,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1122,2,0x0004d5ce,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1123,2,0x0004d59a,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1124,2,0x0004d602,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1125,2,0x0004d606,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1126,2,0x0004d60a,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1127,2,0x0004d60e,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1128,2,0x0004d612,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1129,2,0x0004d616,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x112A,2,0x0004d5ce,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x112B,2,0x0004d61a,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x112C,2,0x0004d61a,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x112D,4,0x0004d644,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x112E,2,0x0004d680,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x112F,7,0x0004d6c0,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1130,1,0x0004d6c4,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1131,1,0x0004d6c8,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1132,2,0x0004d6cc,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1133,1,0x0004d6f6,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1151,2,0x0004d71c,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1152,2,0x0004d758,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1153,2,0x0004d794,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1154,2,0x0004d7d0,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1155,2,0x0004d80c,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1156,2,0x0004d856,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1157,2,0x0004d71c,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1158,2,0x0004d758,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1159,2,0x0004d794,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x115A,2,0x0004d7d0,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x115B,2,0x0004d80c,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x115C,2,0x0004d856,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1181,1,0x0004d890,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1182,1,0x0004d8b6,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1183,1,0x0004d8c8,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1184,1,0x0004d8fc,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1185,2,0x0004d930,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1186,2,0x0004d95a,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11B1,1,0x0004d988,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11B3,1,0x0004d9b4,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11B4,1,0x0004d9e0,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11B5,1,0x0004da0c,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11B6,1,0x0004da38,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11B7,1,0x0004da66,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11B8,1,0x0004da8e,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11B9,1,0x0004dab6,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11BA,1,0x0004dade,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11BB,1,0x0004db06,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11BC,1,0x0004db2e,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11BD,1,0x0004db32,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11BE,1,0x0004d988,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11BF,1,0x0004d9b4,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11C0,1,0x0004d9e0,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11C1,1,0x0004da0c,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11C2,1,0x0004da38,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11C3,1,0x0004da66,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11C4,1,0x0004da8e,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11C5,1,0x0004dab6,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11C6,1,0x0004dade,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11C7,1,0x0004db06,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11C8,1,0x0004db2e,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x11C9,1,0x0004db32,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C00,32,0x0004e9fe,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C02,2,0x0004db5e,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C03,2,0x0004dba6,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C05,8,0x0004dbd0,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C06,2,0x0004dbf2,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C07,2,0x0004dc40,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C08,1,0x0004dc8e,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C09,1,0x0004dcb6,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C0C,8,0x0004dbd0,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C31,1,0x0004dcde,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C32,2,0x0004dd04,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C33,1,0x0004dd40,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C37,1,0x0004dd68,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C38,2,0x0004dd8e,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C39,1,0x0004ddca,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C3D,1,0x0004ddf2,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C3E,2,0x0004de18,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C3F,1,0x0004de54,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C43,1,0x0004de7c,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C44,2,0x0004dea2,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C49,1,0x0004dede,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C4A,2,0x0004df04,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C4B,1,0x0004df40,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C4F,1,0x0004df68,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C50,2,0x0004df8e,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C51,1,0x0004dfca,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C52,1,0x0004dff2,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C53,2,0x0004e018,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C81,1,0x0004e054,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C82,1,0x0004e080,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C83,1,0x0004e0ac,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C84,1,0x0004e0d8,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C86,1,0x0004e104,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C87,7,0x0004e12c,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C99,1,0x0004e194,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C9A,1,0x0004e198,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C9B,1,0x0004e19c,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C9C,7,0x0004e1a0,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C9D,1,0x0004e1a4,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C9E,7,0x0004e1a8,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1C9F,1,0x0004e1ac,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CA0,7,0x0004e1b0,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CA1,1,0x0004e1b4,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CA2,7,0x0004e1dc,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CA3,2,0x0004e242,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CA4,2,0x0004e26c,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CA5,1,0x0004e29e,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CA6,7,0x0004e2c6,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CA7,2,0x0004e32c,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CA8,2,0x0004e356,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CA9,2,0x0004e388,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CAA,2,0x0004e3c2,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CAB,32,0x0004e3fc,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CAC,1,0x0004e054,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CAD,1,0x0004e080,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CAE,1,0x0004e0ac,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CAF,1,0x0004e0d8,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CB0,1,0x0004e104,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CB1,7,0x0004e12c,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CC0,1,0x0004e1b4,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CC1,7,0x0004e1dc,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CC2,2,0x0004e242,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CC3,2,0x0004e26c,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CC4,1,0x0004e29e,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CC5,7,0x0004e2c6,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CC6,2,0x0004e32c,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CC7,2,0x0004e356,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CC8,2,0x0004e388,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CC9,2,0x0004e3c2,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CCA,32,0x0004e3fc,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CF4,45,0x0004e40c,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CF5,45,0x0004e410,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CF6,45,0x0004e414,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CF7,45,0x0004e418,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CF8,45,0x0004e41c,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CF9,45,0x0004e420,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CFA,45,0x0004e424,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CFB,45,0x0004e428,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CFC,45,0x0004e42c,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CFD,45,0x0004e430,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1CFE,45,0x0004e434,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
